time,closed_bar,c1,c2,e20_1,e20_2,e50,e200,adx,plus,minus,e9_1,e9_2,e21_1,e21_2,rsi,prior20_high,prior20_low,tr,atr1,atr2,momentum,change,breakout
2021.09.05 22:05:00,2021.09.03 20:00:00,1827.629,1828.554,1822.063193475391,1821.4773191043794,1819.7092948129805,1807.4104560225699,49.19517397166645,21.49655745975155,23.17961880346569,1826.709008239011,1826.4790102987636,1816.8469084274066,1816.4475717024957,65.6824505274569,1833.915,1804.762,1.6480000000001382,3.5996000000000064,3.622200000000006,0,0,0
2021.09.05 23:00:00,2021.09.05 22:00:00,1828.573,1827.629,1822.6831750491633,1822.063193475391,1820.2811467605304,1807.6210285994598,43.38727742064691,26.873025616960472,18.96514265738102,1827.0818065912088,1826.709008239011,1817.2656974121421,1816.8469084274066,66.72304205288509,1833.915,1804.762,2.576999999999998,3.599750000000003,3.5996000000000064,0,0,0
2021.09.06 00:00:00,2021.09.05 23:00:00,1827.611,1828.573,1823.1524917111478,1822.6831750491633,1820.7540405179157,1807.819933787525,36.746560779199136,21.987020959331293,25.227513016240255,1827.1876452729673,1827.0818065912088,1817.6351725045656,1817.2656974121421,64.62620329500967,1833.915,1804.762,1.247000000000071,3.5454000000000034,3.599750000000003,0,0,0
2021.09.06 01:00:00,2021.09.06 00:00:00,1825.699,1827.611,1823.3950163100862,1823.1524917111478,1821.0730701619211,1807.9978349438682,36.270465372821796,17.98938078490742,36.62985235943136,1826.8899162183739,1827.1876452729673,1817.9231663436883,1817.6351725045656,60.6486805749755,1833.915,1804.762,2.213999999999942,3.5835999999999983,3.5454000000000034,0,0,0
2021.09.06 02:00:00,2021.09.06 01:00:00,1827.321,1825.699,1823.7689195186495,1823.3950163100862,1821.4761624095393,1808.1901052429344,33.87948393588588,18.71410841818558,29.96987920317111,1826.976132974699,1826.8899162183739,1818.2588032599851,1817.9231663436883,62.69388316322304,1833.915,1804.762,3.3309999999999036,3.6898499999999985,3.5835999999999983,0,0,0
2021.09.06 03:00:00,2021.09.06 02:00:00,1827.58,1827.321,1824.1318795644925,1823.7689195186495,1821.8699583831176,1808.3830395191242,31.923226396574673,15.311543251242748,24.52081025714,1827.0969063797595,1826.976132974699,1818.5917031435572,1818.2588032599851,63.01615864467742,1833.915,1804.762,1.5789999999999509,3.660449999999989,3.6898499999999985,0,0,0
2021.09.06 04:00:00,2021.09.06 03:00:00,1825.803,1827.58,1824.2910338916836,1824.1318795644925,1822.1237030035618,1808.5563724592323,32.83457172736564,12.527626296471338,27.20201960484323,1826.8381251038077,1827.0969063797595,1818.8492494598586,1818.5917031435572,59.32420603938668,1833.915,1804.762,2.3479999999999563,3.693799999999985,3.660449999999989,0,0,0
2021.09.06 05:00:00,2021.09.06 04:00:00,1826.368,1825.803,1824.4888401877138,1824.2910338916836,1822.3975286162354,1808.7336025840161,33.74756681675073,10.249876060749276,22.737647872669843,1826.7441000830463,1826.8381251038077,1819.1177762648638,1818.8492494598586,60.104535557774184,1833.915,1804.762,1.2840000000001055,3.5839999999999894,3.693799999999985,0,0,0
2021.09.06 06:00:00,2021.09.06 05:00:00,1827.606,1826.368,1824.7857125507887,1824.4888401877138,1822.7335590280913,1808.9213876329313,28.923293702652582,16.09999530695744,18.60353007763896,1826.916480066437,1826.7441000830463,1819.4209271125471,1819.1177762648638,61.79097015687592,1833.915,1804.762,2.3500000000001364,3.6055499999999916,3.5839999999999894,0,0,0
2021.09.06 07:00:00,2021.09.06 06:00:00,1826.514,1827.606,1824.9503113554756,1824.7857125507887,1822.9774584456338,1809.0964385022553,24.784527512914757,17.21943075580244,15.221070063522784,1826.8359840531498,1826.916480066437,1819.674251144242,1819.4209271125471,59.462965548010345,1833.915,1804.762,1.9230000000000018,3.5844000000000027,3.6055499999999916,0,0,0
2021.09.06 08:00:00,2021.09.06 07:00:00,1826.003,1826.514,1825.0505674168587,1824.9503113554756,1823.1726546749478,1809.2646629947703,24.33959862856507,14.088625163838358,22.193004724724204,1826.6693872425199,1826.8359840531498,1819.9002778890906,1819.674251144242,58.382211368863636,1833.915,1804.762,1.5139999999998963,3.603599999999992,3.5844000000000027,0,0,0
2021.09.06 09:00:00,2021.09.06 08:00:00,1824.797,1826.003,1825.0264181390626,1825.0505674168587,1823.2774511475318,1809.4192136117379,27.472462985205205,11.527056952231383,27.92913511192099,1826.294909794016,1826.6693872425199,1820.075160821623,1819.9002778890906,55.86601927974888,1833.915,1804.762,3.019999999999982,3.665549999999994,3.603599999999992,0,0,0
2021.09.06 10:00:00,2021.09.06 09:00:00,1824.612,1824.797,1824.986949744866,1825.0264181390626,1823.3635510734975,1809.5703856156013,30.946533533044708,9.43122841546204,25.878401346768225,1825.9583278352127,1826.294909794016,1820.2371907922795,1820.075160821623,55.48087779965812,1833.915,1804.762,2.0119999999999436,2.9469999999999894,3.665549999999994,0,0,0
2021.09.06 11:00:00,2021.09.06 10:00:00,1823.993,1824.612,1824.8922878644025,1824.986949744866,1823.404160681659,1809.713894216441,35.720354468600824,7.71645961265076,28.343910219666377,1825.5652622681703,1825.9583278352127,1820.3713268354124,1820.2371907922795,54.16888726377585,1833.915,1804.762,2.030999999999949,2.6830499999999784,2.9469999999999894,0,0,0
2021.09.06 12:00:00,2021.09.06 11:00:00,1823.818,1823.993,1824.7899747344593,1824.8922878644025,1823.4308599925198,1809.8542335774716,39.22591705448416,6.732534530452473,23.19047199790885,1825.2158098145362,1825.5652622681703,1820.4944223055763,1820.3713268354124,53.79128378512338,1833.915,1804.762,1.9090000000001055,2.3277999999999888,2.6830499999999784,0,0,0
2021.09.06 13:00:00,2021.09.06 12:00:00,1822.6,1823.818,1824.5814057121297,1824.7899747344593,1823.3772561220346,1809.9810571239645,43.875366518784645,5.508437343097477,25.787625327796118,1824.692647851629,1825.2158098145362,1820.5696215089486,1820.4944223055763,51.18382559279506,1833.915,1804.762,1.4890000000000327,2.0855999999999977,2.3277999999999888,0,0,0
