key,value
first_tick,2021.09.05 22:05:00
last_tick,2024.09.04 23:59:59
initial_balance,10000.00000000
final_balance,9696.65000000
native_net_profit,-303.35000000
native_trades,1092.00000000
native_equity_dd_pct,19.13258555
observed_equity_dd_pct,19.13258555
observed_equity_dd_cash,2110.99000000
minimum_equity,8922.49000000
max_concurrent_positions,3.00000000
max_gross_initial_stop_risk_pct,1.25188310
fills,1092.00000000
errors,5.00000000
occupied_signals,831.00000000
data_read_retries,0.00000000
