time,event,engine,dir,note,position_id,entry,sl,tp,volume,risk_cash,equity_before,requested_risk_cash,decision_bar
2021.09.07 01:00:00,entry,1,1,done at 1826.198,2,1826.198,1820.038,1844.678,0.05,30.8,10000.0,30.0,2021.09.07 01:00:00
2021.10.04 15:00:00,entry,1,1,done at 1766.564,4,1766.564,1752.758,1807.982,0.03,41.42,9968.9,29.906699999999997,2021.10.04 15:00:00
2021.10.08 10:00:00,entry,1,1,done at 1759.427,6,1759.427,1749.922,1787.942,0.04,38.02,9925.67,29.77701,2021.10.08 10:00:00
2021.10.08 13:00:00,trail,1,1,closed H1 ratchet,6,1759.427,1759.427,1787.942,0.0,0.0,0.0,0.0,2021.10.08 13:00:00
2021.10.11 02:00:00,entry,1,1,done at 1760.190,8,1760.19,1744.702,1806.654,0.02,30.98,9925.36,29.77608,2021.10.11 02:00:00
2021.10.12 14:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.12 14:00:00
2021.10.12 20:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.12 20:00:00
2021.10.13 14:00:00,trail,1,1,closed H1 ratchet,8,1760.19,1760.19,1806.654,0.0,0.0,0.0,0.0,2021.10.13 14:00:00
2021.10.13 14:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.13 14:00:00
2021.10.21 09:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.21 09:00:00
2021.10.21 20:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.21 20:00:00
2021.10.22 17:00:00,entry,1,1,done at 1797.491,10,1797.491,1780.392,1848.788,0.02,34.2,10004.27,30.012809999999998,2021.10.22 17:00:00
2021.10.22 19:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.22 19:00:00
2021.10.24 23:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.24 23:00:00
2021.10.28 16:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.28 16:00:00
2021.10.28 23:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.28 23:00:00
2021.11.05 14:00:00,entry,1,1,done at 1799.453,12,1799.453,1788.103,1833.503,0.03,34.05,9962.46,29.887379999999997,2021.11.05 14:00:00
2021.11.05 17:00:00,trail,1,1,closed H1 ratchet,12,1799.453,1799.453,1833.503,0.0,0.0,0.0,0.0,2021.11.05 17:00:00
2021.11.09 09:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.09 09:00:00
2021.11.12 15:00:00,entry,1,1,done at 1859.230,14,1859.23,1848.305,1892.005,0.03,32.77,10059.75,30.179249999999996,2021.11.12 15:00:00
2021.11.15 10:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.15 10:00:00
2021.11.16 01:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.16 01:00:00
2021.11.16 09:00:00,trail,1,1,closed H1 ratchet,14,1859.23,1859.23,1892.005,0.0,0.0,0.0,0.0,2021.11.16 09:00:00
2021.11.16 09:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.16 09:00:00
2021.11.17 09:00:00,entry,1,1,done at 1860.248,16,1860.248,1846.855,1900.427,0.03,40.17,10056.34,30.16902,2021.11.17 09:00:00
2021.11.18 08:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.18 08:00:00
2021.12.20 03:00:00,entry,1,1,done at 1802.112,18,1802.112,1790.514,1836.906,0.03,34.8,10009.58,30.02874,2021.12.20 03:00:00
2021.12.20 06:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.12.20 06:00:00
2021.12.21 09:00:00,entry,1,1,done at 1797.097,20,1797.097,1786.872,1827.772,0.03,30.67,9974.58,29.92374,2021.12.21 09:00:00
