time,event,engine,dir,note,position_id,entry,sl,tp,volume,risk_cash,equity_before,requested_risk_cash,decision_bar
2021.09.07 01:00:00,entry,1,1,done at 1826.198,2,1826.198,1820.038,1844.678,0.05,30.8,10000.0,30.0,2021.09.07 01:00:00
2021.09.14 15:00:00,entry,2,1,done at 1804.788,4,1804.788,1800.733,1808.843,0.08,32.44,9968.9,29.906699999999997,2021.09.14 15:00:00
2021.09.14 15:00:00,entry,3,1,done at 1804.788,5,1804.788,1800.733,1816.953,0.08,32.44,9966.97,29.90091,2021.09.14 15:00:00
2021.09.21 13:00:00,entry,3,1,done at 1772.028,8,1772.028,1768.911,1781.379,0.1,31.17,9894.5,29.6835,2021.09.21 13:00:00
2021.09.21 15:00:00,trail,3,1,closed H1 ratchet,8,1772.028,1772.028,1781.379,0.0,0.0,0.0,0.0,2021.09.21 15:00:00
2021.09.21 15:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.09.21 15:00:00
2021.09.30 15:00:00,entry,2,1,done at 1757.523,10,1757.523,1752.933,1762.113,0.07,32.13,9987.61,29.96283,2021.09.30 15:00:00
2021.09.30 15:00:00,entry,3,1,done at 1757.523,11,1757.523,1752.933,1771.293,0.07,32.13,9986.35,29.95905,2021.09.30 15:00:00
2021.10.04 15:00:00,entry,1,1,done at 1766.564,14,1766.564,1752.758,1807.982,0.03,41.42,9986.57,29.95971,2021.10.04 15:00:00
2021.10.04 15:00:00,entry,3,1,done at 1766.564,15,1766.564,1761.962,1780.37,0.07,32.22,9986.03,29.958090000000002,2021.10.04 15:00:00
2021.10.08 10:00:00,entry,1,1,done at 1759.427,18,1759.427,1749.922,1787.942,0.04,38.02,9906.76,29.72028,2021.10.08 10:00:00
2021.10.08 13:00:00,trail,1,1,closed H1 ratchet,18,1759.427,1759.427,1787.942,0.0,0.0,0.0,0.0,2021.10.08 13:00:00
2021.10.08 13:00:00,entry,3,1,done at 1776.054,19,1776.054,1772.72,1786.056,0.09,30.01,9972.55,29.91765,2021.10.08 13:00:00
2021.10.11 02:00:00,entry,1,1,done at 1760.190,22,1760.19,1744.702,1806.654,0.02,30.98,9875.82,29.627459999999996,2021.10.11 02:00:00
2021.10.12 14:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.12 14:00:00
2021.10.12 20:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.12 20:00:00
2021.10.13 14:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.13 14:00:00
2021.10.13 14:00:00,entry,3,1,done at 1781.649,23,1781.649,1777.117,1795.245,0.07,31.72,9916.24,29.74872,2021.10.13 14:00:00
2021.10.13 15:00:00,trail,1,1,closed H1 ratchet,22,1760.19,1760.19,1806.654,0.0,0.0,0.0,0.0,2021.10.13 15:00:00
2021.10.13 15:00:00,entry,3,1,done at 1792.906,25,1792.906,1787.847,1808.083,0.06,30.36,10033.6,30.1008,2021.10.13 15:00:00
2021.10.19 07:00:00,entry,2,1,done at 1778.994,27,1778.994,1775.738,1782.25,0.1,32.56,9959.13,29.877389999999995,2021.10.19 07:00:00
2021.10.20 13:00:00,entry,3,1,done at 1786.653,29,1786.653,1783.703,1795.503,0.11,32.45,10005.5,30.0165,2021.10.20 13:00:00
2021.10.21 09:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.21 09:00:00
2021.10.21 20:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.21 20:00:00
2021.10.22 07:00:00,entry,3,1,done at 1793.290,31,1793.29,1789.584,1804.408,0.09,33.35,9981.14,29.943419999999996,2021.10.22 07:00:00
2021.10.22 13:00:00,entry,3,1,done at 1806.018,34,1806.018,1802.458,1816.698,0.09,32.04,10107.76,30.32328,2021.10.22 13:00:00
2021.10.22 15:00:00,trail,3,1,closed H1 ratchet,34,1806.018,1806.018,1816.698,0.0,0.0,0.0,0.0,2021.10.22 15:00:00
2021.10.22 17:00:00,entry,1,1,done at 1797.491,36,1797.491,1780.392,1848.788,0.02,34.2,10107.2,30.321600000000004,2021.10.22 17:00:00
2021.10.22 19:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.22 19:00:00
2021.10.24 23:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.24 23:00:00
2021.10.28 16:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.28 16:00:00
2021.10.28 23:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.28 23:00:00
2021.11.04 14:00:00,entry,2,1,done at 1796.742,38,1796.742,1792.034,1801.45,0.07,32.95,10065.39,30.19617,2021.11.04 14:00:00
2021.11.05 16:00:00,entry,3,1,done at 1809.972,40,1809.972,1805.567,1823.187,0.07,30.83,10031.94,30.09582,2021.11.05 16:00:00
2021.11.05 20:00:00,trail,3,1,closed H1 ratchet,40,1809.972,1809.972,1823.187,0.0,0.0,0.0,0.0,2021.11.05 20:00:00
2021.11.08 14:00:00,entry,3,1,done at 1821.911,42,1821.911,1818.045,1833.509,0.08,30.93,10120.48,30.361439999999998,2021.11.08 14:00:00
2021.11.09 09:00:00,entry,1,1,done at 1824.596,43,1824.596,1814.382,1855.238,0.03,30.64,10136.24,30.40872,2021.11.09 09:00:00
2021.11.09 14:00:00,trail,3,1,closed H1 ratchet,42,1821.911,1821.911,1833.509,0.0,0.0,0.0,0.0,2021.11.09 14:00:00
2021.11.09 14:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.09 14:00:00
2021.11.10 14:00:00,trail,1,1,closed H1 ratchet,43,1824.596,1824.596,1855.238,0.0,0.0,0.0,0.0,2021.11.10 14:00:00
2021.11.10 14:00:00,entry,3,1,done at 1849.777,45,1849.777,1845.711,1861.975,0.08,32.53,10189.04,30.56712,2021.11.10 14:00:00
2021.11.10 15:00:00,entry,3,1,done at 1862.191,48,1862.191,1857.36,1876.684,0.07,33.82,10303.0,30.909000000000002,2021.11.10 15:00:00
2021.11.12 15:00:00,entry,1,1,done at 1859.230,50,1859.23,1848.305,1892.005,0.03,32.77,10268.5,30.8055,2021.11.12 15:00:00
2021.11.15 08:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.15 08:00:00
2021.11.15 10:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.15 10:00:00
2021.11.16 01:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.16 01:00:00
2021.11.16 09:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.16 09:00:00
2021.11.16 09:00:00,entry,3,1,done at 1872.353,51,1872.353,1868.476,1883.984,0.08,31.01,10304.12,30.912360000000003,2021.11.16 09:00:00
2021.11.17 09:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.17 09:00:00
2021.11.26 07:00:00,entry,2,1,done at 1801.401,54,1801.401,1798.616,1804.186,0.11,30.63,10192.82,30.57846,2021.11.26 07:00:00
2021.11.26 07:00:00,entry,3,1,done at 1801.401,55,1801.401,1798.616,1809.756,0.11,30.63,10190.84,30.57252,2021.11.26 07:00:00
2021.11.26 08:00:00,trail,3,1,closed H1 ratchet,55,1801.401,1801.401,1809.756,0.0,0.0,0.0,0.0,2021.11.26 08:00:00
2021.11.26 08:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.26 08:00:00
2021.11.26 10:00:00,entry,3,1,done at 1809.894,58,1809.894,1806.018,1821.522,0.08,31.01,10222.23,30.66669,2021.11.26 10:00:00
2021.12.14 06:00:00,entry,1,1,done at 1787.413,60,1787.413,1778.314,1814.71,0.04,36.39,10190.7,30.5721,2021.12.14 06:00:00
2021.12.20 03:00:00,entry,1,1,done at 1802.112,62,1802.112,1790.514,1836.906,0.03,34.8,10154.04,30.46212,2021.12.20 03:00:00
2021.12.20 06:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.12.20 06:00:00
2021.12.21 09:00:00,entry,1,1,done at 1797.097,64,1797.097,1786.872,1827.772,0.03,30.67,10119.04,30.35712,2021.12.21 09:00:00
2021.12.30 12:00:00,entry,1,1,done at 1802.727,66,1802.727,1794.824,1826.436,0.04,31.61,10088.19,30.26457,2021.12.30 12:00:00
2021.12.30 17:00:00,entry,2,1,done at 1813.642,67,1813.642,1810.638,1816.646,0.11,33.04,10131.13,30.393389999999997,2021.12.30 17:00:00
2021.12.30 20:00:00,trail,1,1,closed H1 ratchet,66,1802.727,1802.727,1826.436,0.0,0.0,0.0,0.0,2021.12.30 20:00:00
2021.12.31 14:00:00,entry,3,1,done at 1824.444,70,1824.444,1821.917,1832.025,0.13,32.85,10213.21,30.639629999999997,2021.12.31 14:00:00
2022.01.11 16:00:00,entry,3,1,done at 1811.774,72,1811.774,1808.776,1820.768,0.11,32.97,10179.63,30.538889999999995,2022.01.11 16:00:00
2022.01.11 17:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.01.11 17:00:00
2022.01.11 18:00:00,trail,3,1,closed H1 ratchet,72,1811.774,1811.774,1820.768,0.0,0.0,0.0,0.0,2022.01.11 18:00:00
2022.01.13 12:00:00,entry,1,1,done at 1823.719,74,1823.719,1815.684,1847.824,0.04,32.14,10278.31,30.83493,2022.01.13 12:00:00
2022.01.13 21:00:00,error,1,1,market closed,0,1822.082,1811.952,1852.472,0.04,40.52,10245.86,30.73758,2022.01.13 21:00:00
2022.01.14 02:00:00,entry,1,1,done at 1822.542,76,1822.542,1811.984,1854.216,0.03,31.68,10245.86,30.73758,2022.01.14 02:00:00
2022.01.18 01:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.01.18 01:00:00
2022.01.19 14:00:00,entry,2,1,done at 1824.117,78,1824.117,1821.3,1826.934,0.11,30.99,10210.76,30.63228,2022.01.19 14:00:00
2022.01.19 14:00:00,entry,3,1,done at 1824.117,79,1824.117,1821.3,1832.568,0.11,30.99,10208.77,30.62631,2022.01.19 14:00:00
2022.01.19 15:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.01.19 15:00:00
2022.01.19 16:00:00,entry,3,1,done at 1838.450,82,1838.45,1835.1,1848.5,0.1,33.5,10333.62,31.000860000000003,2022.01.19 16:00:00
2022.01.20 14:00:00,trail,3,1,closed H1 ratchet,82,1838.45,1838.45,1848.5,0.0,0.0,0.0,0.0,2022.01.20 14:00:00
2022.01.20 14:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.01.20 14:00:00
2022.01.21 14:00:00,entry,1,1,done at 1841.503,84,1841.503,1831.556,1871.344,0.04,39.79,10317.02,30.951060000000002,2022.01.21 14:00:00
2022.01.24 02:00:00,entry,1,1,done at 1836.253,86,1836.253,1823.616,1874.164,0.03,37.91,10276.98,30.830939999999995,2022.01.24 02:00:00
2022.01.24 18:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.01.24 18:00:00
2022.01.25 15:00:00,entry,3,1,done at 1850.533,87,1850.533,1847.053,1860.973,0.09,31.32,10317.67,30.95301,2022.01.25 15:00:00
2022.01.26 10:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.01.26 10:00:00
2022.02.01 06:00:00,entry,2,1,done at 1802.868,90,1802.868,1799.626,1806.11,0.1,32.42,10203.72,30.611159999999995,2022.02.01 06:00:00
2022.02.08 14:00:00,entry,1,1,done at 1824.176,92,1824.176,1816.751,1846.451,0.05,37.12,10235.76,30.70728,2022.02.08 14:00:00
2022.02.08 14:00:00,entry,3,1,done at 1824.176,93,1824.176,1821.701,1831.601,0.13,32.18,10234.86,30.70458,2022.02.08 14:00:00
2022.02.09 15:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.02.09 15:00:00
2022.02.09 17:00:00,entry,3,1,done at 1832.674,95,1832.674,1830.255,1839.931,0.13,31.44,10241.29,30.72387,2022.02.09 17:00:00
2022.02.10 16:00:00,trail,1,1,closed H1 ratchet,92,1824.176,1824.176,1846.451,0.0,0.0,0.0,0.0,2022.02.10 16:00:00
2022.02.10 17:00:00,entry,3,1,done at 1841.694,97,1841.694,1838.332,1851.78,0.1,33.62,10225.22,30.675659999999997,2022.02.10 17:00:00
2022.02.11 13:00:00,entry,1,1,done at 1830.602,100,1830.602,1820.008,1862.384,0.03,31.79,10100.96,30.302879999999995,2022.02.11 13:00:00
2022.02.11 15:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.02.11 15:00:00
2022.02.11 16:00:00,entry,2,1,done at 1836.009,101,1836.009,1832.447,1839.571,0.09,32.06,10116.63,30.349889999999995,2022.02.11 16:00:00
2022.02.11 19:00:00,trail,1,1,closed H1 ratchet,100,1830.602,1830.602,1862.384,0.0,0.0,0.0,0.0,2022.02.11 19:00:00
2022.02.11 19:00:00,entry,3,1,done at 1857.324,103,1857.324,1852.931,1870.503,0.07,30.75,10212.25,30.636749999999996,2022.02.11 19:00:00
2022.02.16 12:00:00,entry,1,1,done at 1856.531,106,1856.531,1847.432,1883.828,0.04,36.39,10196.67,30.590009999999996,2022.02.16 12:00:00
2022.02.16 14:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.02.16 14:00:00
2022.02.16 20:00:00,trail,1,1,closed H1 ratchet,106,1856.531,1856.531,1883.828,0.0,0.0,0.0,0.0,2022.02.16 20:00:00
2022.02.17 09:00:00,entry,3,1,done at 1886.318,108,1886.318,1881.24,1901.552,0.07,35.55,10299.25,30.897750000000002,2022.02.17 09:00:00
2022.02.17 14:00:00,trail,3,1,closed H1 ratchet,108,1886.318,1886.318,1901.552,0.0,0.0,0.0,0.0,2022.02.17 14:00:00
2022.02.17 14:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.02.17 14:00:00
2022.02.18 03:00:00,entry,1,1,done at 1891.013,110,1891.013,1873.867,1942.451,0.02,34.3,10298.75,30.89625,2022.02.18 03:00:00
2022.02.18 06:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.02.18 06:00:00
2022.02.18 13:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.02.18 13:00:00
2022.02.18 17:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.02.18 17:00:00
2022.02.21 00:00:00,entry,3,1,done at 1905.023,111,1905.023,1900.796,1917.704,0.08,33.81,10325.34,30.97602,2022.02.21 00:00:00
2022.02.21 09:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.02.21 09:00:00
2022.02.22 00:00:00,entry,3,1,done at 1909.653,113,1909.653,1904.686,1924.554,0.07,34.77,10299.05,30.897149999999996,2022.02.22 00:00:00
2022.02.22 14:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.02.22 14:00:00
2022.02.23 14:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.02.23 14:00:00
2022.02.24 03:00:00,trail,1,1,closed H1 ratchet,110,1891.013,1891.013,1942.451,0.0,0.0,0.0,0.0,2022.02.24 03:00:00
2022.02.24 04:00:00,entry,3,1,done at 1929.227,115,1929.227,1924.539,1943.291,0.07,32.82,10298.55,30.895649999999996,2022.02.24 04:00:00
2022.02.24 05:00:00,entry,3,1,done at 1935.829,118,1935.829,1930.331,1952.323,0.06,32.98,10423.46,31.270379999999996,2022.02.24 05:00:00
2022.02.24 08:00:00,trail,3,1,closed H1 ratchet,118,1935.829,1935.829,1952.323,0.0,0.0,0.0,0.0,2022.02.24 08:00:00
2022.02.24 10:00:00,entry,3,1,done at 1953.314,120,1953.314,1946.487,1973.795,0.05,34.13,10522.12,31.56636,2022.02.24 10:00:00
2022.02.24 11:00:00,entry,3,1,done at 1973.879,122,1973.879,1966.399,1996.319,0.05,37.4,10624.34,31.87302,2022.02.24 11:00:00
2022.02.25 07:00:00,entry,1,1,done at 1919.367,124,1919.367,1877.259,2045.691,0.01,42.11,10586.64,31.759919999999997,2022.02.25 07:00:00
2022.02.28 00:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.02.28 00:00:00
2022.02.28 11:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.02.28 11:00:00
2022.02.28 20:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.02.28 20:00:00
2022.03.02 23:01:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.03.02 23:00:00
2022.03.03 08:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.03.03 08:00:00
2022.03.04 15:00:00,entry,3,1,done at 1952.038,125,1952.038,1945.489,1971.685,0.05,32.74,10615.4,31.8462,2022.03.04 15:00:00
2022.03.07 00:00:00,trail,1,1,closed H1 ratchet,124,1919.367,1919.367,2045.691,0.0,0.0,0.0,0.0,2022.03.07 00:00:00
2022.03.07 00:00:00,entry,3,1,done at 1988.762,127,1988.762,1981.526,2010.47,0.05,36.18,10618.47,31.855409999999996,2022.03.07 00:00:00
2022.03.08 07:00:00,entry,3,1,done at 2017.051,129,2017.051,2006.528,2048.62,0.04,42.09,10609.35,31.828049999999998,2022.03.08 07:00:00
2022.03.08 15:00:00,entry,3,1,done at 2039.716,131,2039.716,2029.491,2070.391,0.04,40.9,10589.89,31.769669999999998,2022.03.08 15:00:00
2022.03.08 16:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.03.08 16:00:00
2022.03.08 17:00:00,trail,3,1,closed H1 ratchet,131,2039.716,2039.716,2070.391,0.0,0.0,0.0,0.0,2022.03.08 17:00:00
2022.03.10 11:00:00,entry,1,1,done at 1999.798,134,1999.798,1968.183,2094.643,0.02,63.23,10595.77,31.78731,2022.03.10 11:00:00
2022.03.23 20:00:00,entry,3,1,done at 1946.753,136,1946.753,1941.583,1962.263,0.07,36.19,10531.33,31.593989999999998,2022.03.23 20:00:00
2022.03.24 12:00:00,entry,3,1,done at 1956.418,138,1956.418,1951.544,1971.04,0.07,34.12,10483.35,31.45005,2022.03.24 12:00:00
2022.03.24 15:00:00,entry,3,1,done at 1965.240,140,1965.24,1959.207,1983.339,0.06,36.2,10448.8,31.3464,2022.03.24 15:00:00
2022.03.25 16:00:00,entry,1,1,done at 1957.310,142,1957.31,1942.139,2002.823,0.03,45.51,10412.23,31.23669,2022.03.25 16:00:00
2022.03.27 22:05:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.03.27 22:00:00
2022.03.30 15:00:00,entry,2,1,done at 1937.356,144,1937.356,1932.521,1942.191,0.07,33.84,10364.91,31.09473,2022.03.30 15:00:00
2022.04.05 14:00:00,entry,3,1,done at 1942.494,146,1942.494,1938.333,1954.977,0.08,33.29,10330.62,30.991860000000003,2022.04.05 14:00:00
2022.04.08 14:00:00,entry,1,1,done at 1939.663,148,1939.663,1927.859,1975.075,0.03,35.41,10296.77,30.89031,2022.04.08 14:00:00
2022.04.08 14:00:00,entry,3,1,done at 1939.663,149,1939.663,1935.728,1951.468,0.08,31.48,10296.22,30.888659999999994,2022.04.08 14:00:00
2022.04.08 15:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.04.08 15:00:00
2022.04.10 22:05:00,trail,3,1,closed H1 ratchet,149,1939.663,1939.663,1951.468,0.0,0.0,0.0,0.0,2022.04.10 22:00:00
2022.04.11 09:00:00,entry,3,1,done at 1957.231,151,1957.231,1951.968,1973.02,0.06,31.58,10437.17,31.31151,2022.04.11 09:00:00
2022.04.11 10:00:00,trail,1,1,closed H1 ratchet,148,1939.663,1939.663,1975.075,0.0,0.0,0.0,0.0,2022.04.11 10:00:00
2022.04.11 13:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.04.11 13:00:00
2022.04.11 19:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.04.11 19:00:00
2022.04.12 11:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.04.12 11:00:00
2022.04.12 13:00:00,entry,3,1,done at 1970.390,153,1970.39,1965.397,1985.369,0.07,34.95,10443.08,31.32924,2022.04.12 13:00:00
2022.04.12 15:00:00,entry,3,1,done at 1975.848,156,1975.848,1970.213,1992.753,0.06,33.81,10422.0,31.266,2022.04.12 15:00:00
2022.04.14 12:00:00,entry,1,1,done at 1977.305,158,1977.305,1964.824,2014.748,0.03,37.45,10387.82,31.16346,2022.04.14 12:00:00
2022.04.17 22:05:00,entry,1,1,done at 1973.073,160,1973.073,1954.977,2027.361,0.02,36.2,10350.15,31.050449999999998,2022.04.17 22:00:00
2022.04.19 12:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.04.19 12:00:00
2022.04.29 02:00:00,entry,2,1,done at 1902.542,162,1902.542,1896.615,1908.469,0.06,35.56,10312.75,30.938249999999996,2022.04.29 02:00:00
2022.05.04 19:00:00,entry,2,1,done at 1886.068,164,1886.068,1880.754,1891.382,0.06,31.89,10348.01,31.04403,2022.05.04 19:00:00
2022.05.04 19:00:00,entry,3,1,done at 1886.068,165,1886.068,1880.754,1902.01,0.06,31.89,10346.93,31.04079,2022.05.04 19:00:00
2022.05.05 00:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.05.05 00:00:00
2022.05.05 01:00:00,trail,3,1,closed H1 ratchet,165,1886.068,1886.068,1902.01,0.0,0.0,0.0,0.0,2022.05.05 01:00:00
2022.05.05 13:00:00,entry,3,1,done at 1907.022,168,1907.022,1900.685,1926.033,0.05,31.68,10465.51,31.39653,2022.05.05 13:00:00
2022.05.17 12:00:00,entry,3,1,done at 1834.746,170,1834.746,1830.041,1848.861,0.07,32.93,10433.46,31.300379999999997,2022.05.17 12:00:00
2022.05.19 10:00:00,entry,2,1,done at 1829.751,172,1829.751,1825.206,1834.296,0.07,31.82,10399.97,31.199909999999996,2022.05.19 10:00:00
2022.05.19 13:00:00,entry,3,1,done at 1838.408,174,1838.408,1833.826,1852.154,0.07,32.08,10431.6,31.2948,2022.05.19 13:00:00
2022.05.20 16:00:00,entry,1,1,done at 1842.558,176,1842.558,1829.397,1882.041,0.03,39.48,10399.13,31.197389999999995,2022.05.20 16:00:00
