date,opened_at,closed_at,symbol,direction,result,r_multiple,requested_risk,actual_risk,actual_risk_percent,raw_lot,lot,minimum_lot_override,pnl,balance_before,balance_after,level_after
2025-12-30,2025-12-30 13:30:00,2025-12-30 13:30:00,XAUUSD,SELL,win,1.0933,4.6,9.0,45.0,0.0051,0.01,True,9.84,20.0,29.84,2
2025-12-31,2025-12-31 13:30:00,2025-12-31 13:45:00,XAUUSD,BUY,win,1.0933,6.86,9.0,30.16,0.0076,0.01,True,9.84,29.84,39.68,3
2026-01-06,2026-01-06 13:30:00,2026-01-06 13:45:00,XAUUSD,SELL,loss,-1.0178,9.13,9.0,22.68,0.0101,0.01,False,-9.16,39.68,30.52,2
2026-01-07,2026-01-07 13:30:00,2026-01-07 13:30:00,XAUUSD,BUY,loss,-1.0178,7.02,9.0,29.49,0.0078,0.01,True,-9.16,30.52,21.36,1
2026-01-08,2026-01-08 14:45:00,2026-01-08 14:45:00,XAUUSD,BUY,loss,-1.0178,4.91,9.0,42.14,0.0055,0.01,True,-9.16,21.36,12.2,1
2026-01-13,2026-01-13 13:30:00,2026-01-13 13:30:00,XAUUSD,BUY,win,1.0933,2.81,9.0,73.78,0.0031,0.01,True,9.84,12.2,22.04,1
2026-01-14,2026-01-14 13:30:00,2026-01-14 13:30:00,XAUUSD,SELL,loss,-1.0178,5.07,9.0,40.84,0.0056,0.01,True,-9.16,22.04,12.88,1
2026-01-15,2026-01-15 13:30:00,2026-01-15 13:30:00,XAUUSD,SELL,win,1.0933,2.96,9.0,69.89,0.0033,0.01,True,9.84,12.88,22.72,1
2026-01-21,2026-01-21 13:30:00,2026-01-21 14:00:00,XAUUSD,BUY,loss,-1.0178,5.23,9.0,39.62,0.0058,0.01,True,-9.16,22.72,13.56,1
2026-01-22,2026-01-22 13:30:00,2026-01-22 13:30:00,XAUUSD,SELL,loss,-1.0178,3.12,9.0,66.38,0.0035,0.01,True,-9.16,13.56,4.4,1
2026-01-27,2026-01-27 13:30:00,2026-01-27 13:30:00,XAUUSD,SELL,loss,-1.0178,1.01,9.0,204.66,0.0011,0.01,True,-9.16,4.4,0.0,1
2026-01-28,2026-01-28 13:30:00,2026-01-28 13:30:00,XAUUSD,SELL,loss,-1.0178,0.0,9.0,0.0,0.0,0.01,True,-9.16,0.0,0.0,1
2026-01-29,2026-01-29 13:30:00,2026-01-29 13:30:00,XAUUSD,SELL,loss,-1.0178,0.0,9.0,0.0,0.0,0.01,True,-9.16,0.0,0.0,1
2026-02-03,2026-02-03 13:30:00,2026-02-03 13:30:00,XAUUSD,BUY,loss,-1.0267,0.0,9.0,0.0,0.0,0.01,True,-9.24,0.0,0.0,1
2026-02-04,2026-02-04 13:30:00,2026-02-04 13:30:00,XAUUSD,BUY,loss,-1.0267,0.0,9.0,0.0,0.0,0.01,True,-9.24,0.0,0.0,1
2026-02-05,2026-02-05 13:30:00,2026-02-05 13:30:00,XAUUSD,BUY,loss,-1.0178,0.0,9.0,0.0,0.0,0.01,True,-9.16,0.0,0.0,1
2026-02-10,2026-02-10 13:30:00,2026-02-10 13:30:00,XAUUSD,BUY,win,1.0844,0.0,9.0,0.0,0.0,0.01,True,9.76,0.0,9.76,1
2026-02-11,2026-02-11 13:30:00,2026-02-11 13:30:00,XAUUSD,SELL,loss,-1.0178,2.24,9.0,92.22,0.0025,0.01,True,-9.16,9.76,0.6,1
2026-02-12,2026-02-12 13:30:00,2026-02-12 13:30:00,XAUUSD,BUY,loss,-1.0267,0.14,9.0,1501.5,0.0002,0.01,True,-9.24,0.6,0.0,1
2026-02-17,2026-02-17 13:30:00,2026-02-17 13:30:00,XAUUSD,SELL,loss,-1.0178,0.0,9.0,0.0,0.0,0.01,True,-9.16,0.0,0.0,1
2026-02-18,2026-02-18 13:30:00,2026-02-18 13:45:00,XAUUSD,BUY,loss,-1.0178,0.0,9.0,0.0,0.0,0.01,True,-9.16,0.0,0.0,1
2026-02-24,2026-02-24 13:30:00,2026-02-24 13:30:00,XAUUSD,SELL,win,1.0844,0.0,9.0,0.0,0.0,0.01,True,9.76,0.0,9.76,1
2026-02-25,2026-02-25 14:15:00,2026-02-25 14:30:00,XAUUSD,SELL,win,1.0844,2.24,9.0,92.22,0.0025,0.01,True,9.76,9.76,19.52,1
2026-02-26,2026-02-26 13:30:00,2026-02-26 13:30:00,XAUUSD,SELL,loss,-1.0267,4.49,9.0,46.11,0.005,0.01,True,-9.24,19.52,10.28,1
2026-03-03,2026-03-03 13:45:00,2026-03-03 13:45:00,XAUUSD,SELL,loss,-1.0267,2.36,9.0,87.56,0.0026,0.01,True,-9.24,10.28,1.04,1
