time,event,detail,basket,legs,first_entry,quote,trigger,lots,fill,bid,ask,balance,equity,margin,free_margin,margin_level,day,day_start_balance,daily_cash_pnl,total_lots,positions
2021.09.05 22:05:00,day_start,net cash target resets at broker midnight,0,0,0.0,0.0,0.0,0.0,0.0,1828.145,1828.332,3000.0,3000.0,0.0,3000.0,0.0,20210905,3000.0,0.0,0.0,0
2021.09.05 22:05:00,buy_request,first leg,1,0,0.0,1828.332,1828.332,0.02,0.0,1828.145,1828.332,3000.0,3000.0,0.0,3000.0,0.0,20210905,3000.0,0.0,0.0,0
2021.09.05 22:05:00,buy_filled,filled,1,1,1828.332,1828.332,1828.332,0.02,1828.332,1828.145,1828.332,2999.89,2999.52,1.83,2997.69,163908.19672131148,20210905,3000.0,-0.11000000000012733,0.02,1
2021.09.06 00:00:00,day_end,end of last observed broker day,1,1,1828.332,0.0,0.0,0.0,0.0,1827.601,1827.788,2999.89,2998.43,1.83,2996.6,163848.6338797814,20210905,3000.0,-0.11000000000012733,0.02,1
2021.09.06 00:00:00,day_start,net cash target resets at broker midnight,1,1,1828.332,0.0,0.0,0.0,0.0,1827.601,1827.788,2999.89,2998.43,1.83,2996.6,163848.6338797814,20210906,2999.89,0.0,0.02,1
2021.09.07 00:00:00,day_end,end of last observed broker day,1,1,1828.332,0.0,0.0,0.0,0.0,1823.531,1823.718,2999.89,2989.22,1.83,2987.39,163345.35519125682,20210906,2999.89,0.0,0.02,1
2021.09.07 00:00:00,day_start,net cash target resets at broker midnight,1,1,1828.332,0.0,0.0,0.0,0.0,1823.531,1823.718,2999.89,2989.22,1.83,2987.39,163345.35519125682,20210907,2999.89,0.0,0.02,1
2021.09.07 05:49:21,buy_request,doubling rung,1,1,1828.332,1818.298,1818.332,0.04,0.0,1818.111,1818.298,2999.89,2978.38,1.83,2976.55,162753.0054644809,20210907,2999.89,0.0,0.02,1
2021.09.07 05:49:21,buy_filled,filled,1,2,1828.332,1818.298,1818.332,0.04,1818.298,1818.111,1818.298,2999.67,2977.41,5.46,2971.95,54531.31868131868,20210907,2999.89,-0.2199999999997999,0.06,2
2021.09.07 14:02:13,buy_request,doubling rung,1,2,1828.332,1808.323,1808.332,0.08,0.0,1808.136,1808.323,2999.67,2917.56,5.46,2912.1,53435.16483516483,20210907,2999.89,-0.2199999999997999,0.06,2
2021.09.07 14:02:13,buy_filled,filled,1,3,1828.332,1808.323,1808.332,0.08,1808.323,1808.136,1808.323,2999.23,2915.63,12.7,2902.93,22957.716535433072,20210907,2999.89,-0.6599999999998545,0.13999999999999999,3
2021.09.07 14:15:37,buy_request,doubling rung,1,3,1828.332,1798.286,1798.332,0.16,0.0,1798.099,1798.286,2999.23,2775.12,12.7,2762.42,21851.338582677166,20210907,2999.89,-0.6599999999998545,0.13999999999999999,3
2021.09.07 14:15:37,buy_filled,filled,1,4,1828.332,1798.286,1798.332,0.16,1798.286,1798.099,1798.286,2998.35,2771.24,27.08,2744.16,10233.530280649926,20210907,2999.89,-1.5399999999999636,0.3,4
2021.09.08 00:00:00,day_end,end of last observed broker day,1,4,1828.332,0.0,0.0,0.0,0.0,1795.645,1795.832,2998.35,2681.57,27.08,2654.49,9902.400295420975,20210907,2999.89,-1.5399999999999636,0.3,4
2021.09.08 00:00:00,day_start,net cash target resets at broker midnight,1,4,1828.332,0.0,0.0,0.0,0.0,1795.645,1795.832,2998.35,2681.57,27.08,2654.49,9902.400295420975,20210908,2998.35,0.0,0.3,4
2021.09.08 13:46:40,buy_request,doubling rung,1,4,1828.332,1788.308,1788.332,0.32,0.0,1788.121,1788.308,2998.35,2455.85,27.08,2428.77,9068.87001477105,20210908,2998.35,0.0,0.3,4
2021.09.08 13:46:40,buy_filled,filled,1,5,1828.332,1788.308,1788.332,0.32,1788.308,1788.121,1788.308,2996.59,2448.1,55.7,2392.4,4395.152603231598,20210908,2998.35,-1.7599999999997635,0.62,5
