status,r,side,setup_range,best_r,event,event_type,trail_start_r,trail_distance_r,max_hold_minutes,usd,risk_usd
trail_exit,0.0,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.0,2.0,180,0.0,367.5
timeout,1.222628062360781,buy,5.450000000000273,1.9274832962137822,Jun 25 PCE,PCE,1.0,2.0,180,548.96,449.0
trail_exit,0.569506955810108,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.0,2.0,180,222.7,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.0,2.0,180,0.0,
trail_exit,0.7039171682137774,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.0,2.0,180,276.02,392.12
trail_exit,0.0,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.0,2.0,240,0.0,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.0,2.0,240,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.0,2.0,240,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.0,2.0,240,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.0,2.0,240,0.0,
timeout,5.511639884631191,sell,2.4160000000001673,5.6781520395549725,Jun 05 NFP / Jobs,NFP,1.0,2.0,240,2140.28,388.32
trail_exit,0.0,buy,5.05199999999968,1.2992925811717966,Jun 10 CPI,CPI,1.0,2.0,240,0.0,441.04
trail_exit,0.0,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.0,2.0,240,0.0,367.5
timeout,1.222628062360781,buy,5.450000000000273,1.9274832962137822,Jun 25 PCE,PCE,1.0,2.0,240,548.96,449.0
trail_exit,0.569506955810108,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.0,2.0,240,222.7,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.0,2.0,240,0.0,
trail_exit,0.7039171682137774,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.0,2.0,240,276.02,392.12
trail_exit,0.0,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.0,3.0,60,0.0,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.0,3.0,60,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.0,3.0,60,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.0,3.0,60,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.0,3.0,60,0.0,
timeout,2.911928306551297,sell,2.4160000000001673,2.934332509270677,Jun 05 NFP / Jobs,NFP,1.0,3.0,60,1130.76,388.32
trail_exit,0.0,buy,5.05199999999968,1.2992925811717966,Jun 10 CPI,CPI,1.0,3.0,60,0.0,441.04
trail_exit,0.0,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.0,3.0,60,0.0,367.5
timeout,1.4903786191536492,buy,5.450000000000273,1.9274832962137822,Jun 25 PCE,PCE,1.0,3.0,60,669.18,449.0
trail_exit,0.0,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.0,3.0,60,0.0,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.0,3.0,60,0.0,
trail_exit,0.0,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.0,3.0,60,0.0,392.12
trail_exit,0.0,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.0,3.0,120,0.0,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.0,3.0,120,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.0,3.0,120,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.0,3.0,120,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.0,3.0,120,0.0,
timeout,4.842346518335364,sell,2.4160000000001673,5.3016069221260205,Jun 05 NFP / Jobs,NFP,1.0,3.0,120,1880.38,388.32
trail_exit,0.0,buy,5.05199999999968,1.2992925811717966,Jun 10 CPI,CPI,1.0,3.0,120,0.0,441.04
trail_exit,0.0,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.0,3.0,120,0.0,367.5
timeout,1.4891759465478567,buy,5.450000000000273,1.9274832962137822,Jun 25 PCE,PCE,1.0,3.0,120,668.64,449.0
trail_exit,0.0,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.0,3.0,120,0.0,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.0,3.0,120,0.0,
trail_exit,0.0,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.0,3.0,120,0.0,392.12
trail_exit,0.0,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.0,3.0,180,0.0,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.0,3.0,180,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.0,3.0,180,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.0,3.0,180,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.0,3.0,180,0.0,
timeout,5.511639884631191,sell,2.4160000000001673,5.6781520395549725,Jun 05 NFP / Jobs,NFP,1.0,3.0,180,2140.28,388.32
trail_exit,0.0,buy,5.05199999999968,1.2992925811717966,Jun 10 CPI,CPI,1.0,3.0,180,0.0,441.04
trail_exit,0.0,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.0,3.0,180,0.0,367.5
timeout,1.222628062360781,buy,5.450000000000273,1.9274832962137822,Jun 25 PCE,PCE,1.0,3.0,180,548.96,449.0
trail_exit,0.0,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.0,3.0,180,0.0,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.0,3.0,180,0.0,
trail_exit,0.0,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.0,3.0,180,0.0,392.12
trail_exit,0.0,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.0,3.0,240,0.0,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.0,3.0,240,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.0,3.0,240,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.0,3.0,240,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.0,3.0,240,0.0,
timeout,5.511639884631191,sell,2.4160000000001673,5.6781520395549725,Jun 05 NFP / Jobs,NFP,1.0,3.0,240,2140.28,388.32
trail_exit,0.0,buy,5.05199999999968,1.2992925811717966,Jun 10 CPI,CPI,1.0,3.0,240,0.0,441.04
trail_exit,0.0,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.0,3.0,240,0.0,367.5
timeout,1.222628062360781,buy,5.450000000000273,1.9274832962137822,Jun 25 PCE,PCE,1.0,3.0,240,548.96,449.0
trail_exit,0.0,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.0,3.0,240,0.0,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.0,3.0,240,0.0,
trail_exit,0.0,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.0,3.0,240,0.0,392.12
timeout,-0.23471370143151682,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.5,0.5,60,-91.82,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.5,0.5,60,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.5,0.5,60,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.5,0.5,60,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.5,0.5,60,0.0,
trail_exit,1.301761433868991,sell,2.4160000000001673,1.8017614338689676,Jun 05 NFP / Jobs,NFP,1.5,0.5,60,505.5,388.32
timeout,0.18719390531469987,buy,5.05199999999968,1.2992925811717966,Jun 10 CPI,CPI,1.5,0.5,60,82.56,441.04
trail_exit,1.380707482993197,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.5,0.5,60,507.41,367.5
trail_exit,1.0327394209353769,buy,5.450000000000273,1.5327394209353868,Jun 25 PCE,PCE,1.5,0.5,60,463.7,449.0
trail_exit,2.0695069558101196,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.5,0.5,60,809.26,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.5,0.5,60,0.0,
trail_exit,2.203917168213789,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.5,0.5,60,864.2,392.12
timeout,-0.3864519427403064,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.5,0.5,120,-151.18,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.5,0.5,120,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.5,0.5,120,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.5,0.5,120,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.5,0.5,120,0.0,
trail_exit,1.301761433868991,sell,2.4160000000001673,1.8017614338689676,Jun 05 NFP / Jobs,NFP,1.5,0.5,120,505.5,388.32
trail_exit,1.3232359876655502,buy,5.05199999999968,1.8232359876655502,Jun 10 CPI,CPI,1.5,0.5,120,583.6,441.04
trail_exit,1.380707482993197,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.5,0.5,120,507.41,367.5
trail_exit,1.0327394209353769,buy,5.450000000000273,1.5327394209353868,Jun 25 PCE,PCE,1.5,0.5,120,463.7,449.0
trail_exit,2.0695069558101196,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.5,0.5,120,809.26,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.5,0.5,120,0.0,
trail_exit,2.203917168213789,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.5,0.5,120,864.2,392.12
timeout,-0.6382413087934455,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.5,0.5,180,-249.68,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.5,0.5,180,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.5,0.5,180,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.5,0.5,180,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.5,0.5,180,0.0,
trail_exit,1.301761433868991,sell,2.4160000000001673,1.8017614338689676,Jun 05 NFP / Jobs,NFP,1.5,0.5,180,505.5,388.32
trail_exit,1.3232359876655502,buy,5.05199999999968,1.8232359876655502,Jun 10 CPI,CPI,1.5,0.5,180,583.6,441.04
trail_exit,1.380707482993197,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.5,0.5,180,507.41,367.5
trail_exit,1.0327394209353769,buy,5.450000000000273,1.5327394209353868,Jun 25 PCE,PCE,1.5,0.5,180,463.7,449.0
trail_exit,2.0695069558101196,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.5,0.5,180,809.26,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.5,0.5,180,0.0,
trail_exit,2.203917168213789,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.5,0.5,180,864.2,392.12
timeout,-0.6382413087934455,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.5,0.5,240,-249.68,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.5,0.5,240,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.5,0.5,240,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.5,0.5,240,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.5,0.5,240,0.0,
trail_exit,1.301761433868991,sell,2.4160000000001673,1.8017614338689676,Jun 05 NFP / Jobs,NFP,1.5,0.5,240,505.5,388.32
trail_exit,1.3232359876655502,buy,5.05199999999968,1.8232359876655502,Jun 10 CPI,CPI,1.5,0.5,240,583.6,441.04
trail_exit,1.380707482993197,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.5,0.5,240,507.41,367.5
trail_exit,1.0327394209353769,buy,5.450000000000273,1.5327394209353868,Jun 25 PCE,PCE,1.5,0.5,240,463.7,449.0
trail_exit,2.0695069558101196,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.5,0.5,240,809.26,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.5,0.5,240,0.0,
trail_exit,2.203917168213789,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.5,0.5,240,864.2,392.12
timeout,-0.23471370143151682,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.5,0.75,60,-91.82,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.5,0.75,60,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.5,0.75,60,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.5,0.75,60,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.5,0.75,60,0.0,
trail_exit,2.1330346106303875,sell,2.4160000000001673,2.883034610630376,Jun 05 NFP / Jobs,NFP,1.5,0.75,60,828.3,388.32
timeout,0.18719390531469987,buy,5.05199999999968,1.2992925811717966,Jun 10 CPI,CPI,1.5,0.75,60,82.56,441.04
trail_exit,1.130707482993197,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.5,0.75,60,415.53,367.5
timeout,1.4903786191536492,buy,5.450000000000273,1.9274832962137822,Jun 25 PCE,PCE,1.5,0.75,60,669.18,449.0
trail_exit,1.8195069558101256,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.5,0.75,60,711.5,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.5,0.75,60,0.0,
trail_exit,1.9539171682137717,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.5,0.75,60,766.17,392.12
timeout,-0.3864519427403064,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.5,0.75,120,-151.18,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.5,0.75,120,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.5,0.75,120,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.5,0.75,120,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.5,0.75,120,0.0,
trail_exit,2.1330346106303875,sell,2.4160000000001673,2.883034610630376,Jun 05 NFP / Jobs,NFP,1.5,0.75,120,828.3,388.32
trail_exit,1.1252947578451329,buy,5.05199999999968,1.8752947578451329,Jun 10 CPI,CPI,1.5,0.75,120,496.3,441.04
trail_exit,1.130707482993197,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.5,0.75,120,415.53,367.5
trail_exit,1.1774832962137871,buy,5.450000000000273,1.9274832962137822,Jun 25 PCE,PCE,1.5,0.75,120,528.69,449.0
trail_exit,1.8195069558101256,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.5,0.75,120,711.5,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.5,0.75,120,0.0,
trail_exit,1.9539171682137717,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.5,0.75,120,766.17,392.12
timeout,-0.6382413087934455,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.5,0.75,180,-249.68,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.5,0.75,180,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.5,0.75,180,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.5,0.75,180,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.5,0.75,180,0.0,
trail_exit,2.1330346106303875,sell,2.4160000000001673,2.883034610630376,Jun 05 NFP / Jobs,NFP,1.5,0.75,180,828.3,388.32
trail_exit,1.1252947578451329,buy,5.05199999999968,1.8752947578451329,Jun 10 CPI,CPI,1.5,0.75,180,496.3,441.04
trail_exit,1.130707482993197,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.5,0.75,180,415.53,367.5
trail_exit,1.1774832962137871,buy,5.450000000000273,1.9274832962137822,Jun 25 PCE,PCE,1.5,0.75,180,528.69,449.0
trail_exit,1.8195069558101256,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.5,0.75,180,711.5,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.5,0.75,180,0.0,
trail_exit,1.9539171682137717,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.5,0.75,180,766.17,392.12
timeout,-0.6382413087934455,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.5,0.75,240,-249.68,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.5,0.75,240,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.5,0.75,240,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.5,0.75,240,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.5,0.75,240,0.0,
trail_exit,2.1330346106303875,sell,2.4160000000001673,2.883034610630376,Jun 05 NFP / Jobs,NFP,1.5,0.75,240,828.3,388.32
trail_exit,1.1252947578451329,buy,5.05199999999968,1.8752947578451329,Jun 10 CPI,CPI,1.5,0.75,240,496.3,441.04
trail_exit,1.130707482993197,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.5,0.75,240,415.53,367.5
trail_exit,1.1774832962137871,buy,5.450000000000273,1.9274832962137822,Jun 25 PCE,PCE,1.5,0.75,240,528.69,449.0
trail_exit,1.8195069558101256,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.5,0.75,240,711.5,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.5,0.75,240,0.0,
trail_exit,1.9539171682137717,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.5,0.75,240,766.17,392.12
timeout,-0.23471370143151682,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.5,1.0,60,-91.82,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.5,1.0,60,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.5,1.0,60,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.5,1.0,60,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.5,1.0,60,0.0,
trail_exit,1.883034610630376,sell,2.4160000000001673,2.883034610630376,Jun 05 NFP / Jobs,NFP,1.5,1.0,60,731.22,388.32
timeout,0.18719390531469987,buy,5.05199999999968,1.2992925811717966,Jun 10 CPI,CPI,1.5,1.0,60,82.56,441.04
trail_exit,0.8807074829931969,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.5,1.0,60,323.66,367.5
timeout,1.4903786191536492,buy,5.450000000000273,1.9274832962137822,Jun 25 PCE,PCE,1.5,1.0,60,669.18,449.0
trail_exit,1.5695069558101313,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.5,1.0,60,613.74,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.5,1.0,60,0.0,
trail_exit,1.7039171682137775,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.5,1.0,60,668.14,392.12
timeout,-0.3864519427403064,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.5,1.0,120,-151.18,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.5,1.0,120,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.5,1.0,120,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.5,1.0,120,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.5,1.0,120,0.0,
trail_exit,1.883034610630376,sell,2.4160000000001673,2.883034610630376,Jun 05 NFP / Jobs,NFP,1.5,1.0,120,731.22,388.32
trail_exit,0.8752947578451329,buy,5.05199999999968,1.8752947578451329,Jun 10 CPI,CPI,1.5,1.0,120,386.04,441.04
trail_exit,0.8807074829931969,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.5,1.0,120,323.66,367.5
trail_exit,0.9274832962137821,buy,5.450000000000273,1.9274832962137822,Jun 25 PCE,PCE,1.5,1.0,120,416.44,449.0
trail_exit,1.5695069558101313,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.5,1.0,120,613.74,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.5,1.0,120,0.0,
trail_exit,1.7039171682137775,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.5,1.0,120,668.14,392.12
timeout,-0.6382413087934455,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.5,1.0,180,-249.68,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.5,1.0,180,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.5,1.0,180,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.5,1.0,180,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.5,1.0,180,0.0,
trail_exit,1.883034610630376,sell,2.4160000000001673,2.883034610630376,Jun 05 NFP / Jobs,NFP,1.5,1.0,180,731.22,388.32
trail_exit,0.8752947578451329,buy,5.05199999999968,1.8752947578451329,Jun 10 CPI,CPI,1.5,1.0,180,386.04,441.04
trail_exit,0.8807074829931969,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.5,1.0,180,323.66,367.5
trail_exit,0.9274832962137821,buy,5.450000000000273,1.9274832962137822,Jun 25 PCE,PCE,1.5,1.0,180,416.44,449.0
trail_exit,1.5695069558101313,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.5,1.0,180,613.74,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.5,1.0,180,0.0,
trail_exit,1.7039171682137775,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.5,1.0,180,668.14,392.12
timeout,-0.6382413087934455,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.5,1.0,240,-249.68,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.5,1.0,240,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.5,1.0,240,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.5,1.0,240,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.5,1.0,240,0.0,
trail_exit,1.883034610630376,sell,2.4160000000001673,2.883034610630376,Jun 05 NFP / Jobs,NFP,1.5,1.0,240,731.22,388.32
trail_exit,0.8752947578451329,buy,5.05199999999968,1.8752947578451329,Jun 10 CPI,CPI,1.5,1.0,240,386.04,441.04
trail_exit,0.8807074829931969,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.5,1.0,240,323.66,367.5
trail_exit,0.9274832962137821,buy,5.450000000000273,1.9274832962137822,Jun 25 PCE,PCE,1.5,1.0,240,416.44,449.0
trail_exit,1.5695069558101313,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.5,1.0,240,613.74,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.5,1.0,240,0.0,
trail_exit,1.7039171682137775,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.5,1.0,240,668.14,392.12
timeout,-0.23471370143151682,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.5,1.5,60,-91.82,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.5,1.5,60,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.5,1.5,60,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.5,1.5,60,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.5,1.5,60,0.0,
timeout,2.911928306551297,sell,2.4160000000001673,2.934332509270677,Jun 05 NFP / Jobs,NFP,1.5,1.5,60,1130.76,388.32
timeout,0.18719390531469987,buy,5.05199999999968,1.2992925811717966,Jun 10 CPI,CPI,1.5,1.5,60,82.56,441.04
trail_exit,0.3807074829931969,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.5,1.5,60,139.91,367.5
timeout,1.4903786191536492,buy,5.450000000000273,1.9274832962137822,Jun 25 PCE,PCE,1.5,1.5,60,669.18,449.0
trail_exit,1.0695069558100965,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.5,1.5,60,418.22,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.5,1.5,60,0.0,
trail_exit,1.2039171682137657,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.5,1.5,60,472.08,392.12
timeout,-0.3864519427403064,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.5,1.5,120,-151.18,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.5,1.5,120,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.5,1.5,120,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.5,1.5,120,0.0,
