policy,bot,symbol,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,LTA,AUDUSD,1,0,0,1,0,0.0,0.43,0.434,0.43,6.0
dynamic_aggressive,LTA,GBPJPY,1,0,0,1,0,0.0,0.4,0.401,0.4,6.0
dynamic_balanced,LTA,AUDUSD,1,0,0,1,0,0.0,0.43,0.434,0.43,4.0
dynamic_balanced,LTA,GBPJPY,1,0,0,1,0,0.0,0.4,0.401,0.4,4.0
dynamic_balanced,ORB,AUDUSD,1,0,1,0,0,0.0,-1.09,-1.089,0.0,3.0
dynamic_balanced,ORB,GBPUSD,1,0,1,0,0,0.0,-1.07,-1.073,0.0,3.0
dynamic_balanced,ORB,NZDUSD,1,0,0,0,1,0.0,1.33,1.335,1.33,3.0
dynamic_capped,LTA,AUDUSD,1,0,1,0,0,0.0,-1.08,-1.078,0.0,4.0
dynamic_capped,ORB,GBPUSD,1,0,1,0,0,0.0,-1.08,-1.083,0.0,3.0
dynamic_conservative,LTA,AUDUSD,1,0,0,1,0,0.0,0.43,0.434,0.43,3.0
dynamic_conservative,LTA,GBPJPY,1,0,0,1,0,0.0,0.4,0.401,0.4,3.0
dynamic_conservative,ORB,GBPUSD,1,0,1,0,0,0.0,-1.09,-1.091,0.0,2.0
dynamic_score,LTA,AUDUSD,1,0,0,1,0,0.0,0.43,0.434,0.43,6.0
dynamic_score,LTA,GBPJPY,1,0,0,1,0,0.0,0.4,0.401,0.4,5.0
dynamic_score,ORB,AUDUSD,1,0,1,0,0,0.0,-1.09,-1.089,0.0,4.0
dynamic_score,ORB,GBPUSD,1,0,1,0,0,0.0,-1.07,-1.073,0.0,4.0
dynamic_score,ORB,NZDUSD,1,0,0,0,1,0.0,1.33,1.335,1.33,4.0
fixed_current,LTA,AUDUSD,1,0,0,1,0,0.0,0.43,0.434,0.43,6.0
fixed_current,LTA,GBPJPY,1,0,0,1,0,0.0,0.4,0.401,0.4,6.0
