symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,setup_score,bpr_low,bpr_high,reason,pnl,balance
US30,H4,2025-12,2025-12-29 20:00:00,2025-12-31 20:00:00,SELL,48507.4,48708.58571,48105.02857,48105.02857,TP,1.9906,0.0094,19.0,95,48570.8,48683.2,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,29.86,329.86
US30,H4,2026-01,2026-01-21 16:00:00,2026-01-22 12:00:00,SELL,49307.7,49435.69107,49051.71786,49435.69107,SL,-1.0148,0.0148,19.0,98,49323.4,49370.4,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-16.74,313.12
US30,H4,2026-01,2026-01-23 12:00:00,2026-01-23 16:00:00,BUY,49185.2,49003.33393,49548.93214,49003.33393,SL,-1.0104,0.0104,19.0,98,49068.5,49078.2,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-15.82,297.3
US30,H4,2026-01,2026-01-26 12:00:00,2026-01-26 16:00:00,SELL,49322.5,49420.4875,49126.525,49420.4875,SL,-1.0194,0.0194,19.0,97,49337.9,49371.6,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-15.15,282.15
US30,H4,2026-01,2026-01-29 12:00:00,2026-02-02 16:00:00,SELL,48743.4,49426.31964,47377.56071,49426.31964,SL,-1.0031,0.0031,21.0,100,49319.9,49371.6,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-14.15,268.0
US30,H4,2026-02,2026-02-13 04:00:00,2026-02-13 08:00:00,BUY,49391.7,49259.06964,49656.96071,49259.06964,SL,-1.0158,0.0158,21.0,97,49318.1,49381.3,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-13.61,254.39
US30,H4,2026-03,2026-03-03 16:00:00,2026-03-04 00:00:00,SELL,48645.8,48813.34107,48310.71786,48310.71786,TP,1.9875,0.0125,21.0,98,48675.5,48705.3,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,25.28,279.67
US30,H4,2026-03,2026-03-04 00:00:00,2026-03-04 12:00:00,BUY,48362.9,48181.33571,48726.02857,48726.02857,TP,1.9884,0.0116,21.0,96,48289.8,48389.1,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,27.8,307.47
US30,H4,2026-03,2026-03-23 08:00:00,2026-04-07 20:00:00,SELL,46246.4,47058.53929,44622.12143,47058.53929,SL,-1.0023,0.0023,19.0,100,46928.5,46948.0,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-15.41,292.06
US30,H4,2026-04,2026-04-20 04:00:00,2026-04-20 12:00:00,SELL,49124.2,49499.53393,48373.53214,49499.53393,SL,-1.0056,0.0056,21.0,88,49157.5,49443.2,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-14.68,277.38
US30,H4,2026-04,2026-04-29 20:00:00,2026-04-30 08:00:00,SELL,48742.5,49182.33214,47862.83571,49182.33214,SL,-1.0048,0.0048,21.0,94,48921.7,49137.3,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-13.94,263.44
US30,H4,2026-05,2026-05-04 12:00:00,2026-05-06 08:00:00,BUY,49104.6,48866.78929,49580.22143,49580.22143,TP,1.9912,0.0088,21.0,97,48921.7,49073.0,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,26.23,289.67
US30,H4,2026-05,2026-05-19 12:00:00,2026-05-20 12:00:00,BUY,49485.4,49241.93929,49972.32143,49972.32143,TP,1.9914,0.0086,21.0,98,49304.4,49335.5,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,28.84,318.51
US30,H4,2026-05,2026-05-21 12:00:00,2026-05-22 12:00:00,BUY,49974.3,49644.78929,50633.32143,50633.32143,TP,1.9936,0.0064,21.0,100,49712.6,49772.2,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,31.75,350.26
US30,H4,2026-06,2026-06-08 08:00:00,2026-06-08 12:00:00,SELL,51069.5,51266.07321,50676.35357,51266.07321,SL,-1.0107,0.0107,21.0,94,51069.7,51199.2,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-17.7,332.56
