symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,pnl,range_high,range_low,range_atr
AUDUSD,30,2.0,2026-05,2026-05-19,2026-05-19 23:30:00,2026-05-19 23:45:00,BUY,0.71089,0.7107,0.71127,0.7107,loss,-1.0,-19.0,0.71089,0.7107,0.9048
AUDUSD,30,2.0,2026-05,2026-05-20,2026-05-20 23:30:00,2026-05-20 23:45:00,SELL,0.71495,0.71521,0.71443,0.71521,loss,-1.0,-26.0,0.71521,0.71495,0.9891
AUDUSD,30,2.0,2026-05,2026-05-21,2026-05-21 23:45:00,2026-05-22 01:00:00,SELL,0.7147,0.71516,0.71378,0.71378,win,2.0,92.0,0.71516,0.7147,1.5189
AUDUSD,30,2.0,2026-05,2026-05-24,2026-05-24 23:30:00,2026-05-24 23:45:00,BUY,0.71609,0.71576,0.71675,0.71576,loss,-1.0,-33.0,0.71609,0.71576,0.7938
AUDUSD,30,2.0,2026-05,2026-05-25,2026-05-25 23:30:00,2026-05-25 23:45:00,SELL,0.7173,0.71754,0.71682,0.71682,win,2.0,48.0,0.71754,0.7173,1.1873
AUDUSD,30,2.0,2026-05,2026-05-26,2026-05-26 23:30:00,2026-05-27 00:30:00,BUY,0.71699,0.71671,0.71755,0.71755,win,2.0,56.0,0.71699,0.71671,1.9029
AUDUSD,30,2.0,2026-05,2026-05-27,2026-05-27 23:30:00,2026-05-28 01:15:00,SELL,0.71378,0.7144,0.71254,0.71254,win,2.0,124.0,0.7144,0.71378,3.0456
AUDUSD,30,2.0,2026-05,2026-05-28,2026-05-28 23:30:00,2026-05-29 00:00:00,SELL,0.71622,0.71646,0.71574,0.71646,loss,-1.0,-24.0,0.71646,0.71622,1.2399
AUDUSD,30,2.0,2026-05,2026-05-31,2026-05-31 23:30:00,2026-06-01 00:00:00,BUY,0.71822,0.71778,0.7191,0.71778,loss,-1.0,-44.0,0.71822,0.71778,1.1536
AUDUSD,30,2.0,2026-06,2026-06-02,2026-06-02 23:30:00,2026-06-03 00:15:00,SELL,0.71718,0.7178,0.71594,0.7178,loss,-1.0,-62.0,0.7178,0.71718,3.4173
AUDUSD,30,2.0,2026-06,2026-06-03,2026-06-03 23:30:00,2026-06-04 06:00:00,SELL,0.71283,0.71368,0.71113,0.71307,timeout,-0.2824,-24.0,0.71368,0.71283,3.6615
AUDUSD,30,2.0,2026-06,2026-06-04,2026-06-04 23:30:00,2026-06-05 00:00:00,SELL,0.7133,0.71358,0.71274,0.71274,win,2.0,56.0,0.71358,0.7133,1.6824
AUDUSD,30,2.0,2026-06,2026-06-07,2026-06-07 23:30:00,2026-06-08 00:30:00,BUY,0.70388,0.70313,0.70538,0.70538,win,2.0,150.0,0.70388,0.70313,1.2515
AUDUSD,30,2.0,2026-06,2026-06-08,2026-06-08 23:30:00,2026-06-08 23:45:00,SELL,0.70425,0.70451,0.70373,0.70373,win,2.0,52.0,0.70451,0.70425,1.3788
AUDUSD,30,2.0,2026-06,2026-06-09,2026-06-09 23:30:00,2026-06-09 23:45:00,SELL,0.70158,0.70224,0.70026,0.70224,loss,-1.0,-66.0,0.70224,0.70158,1.9701
AUDUSD,30,2.0,2026-06,2026-06-10,2026-06-10 23:30:00,2026-06-11 06:00:00,BUY,0.69991,0.6987,0.70233,0.70052,timeout,0.5041,61.0,0.69991,0.6987,3.8853
AUDUSD,30,2.0,2026-06,2026-06-11,2026-06-11 23:30:00,2026-06-12 01:15:00,SELL,0.70454,0.70523,0.70316,0.70316,win,2.0,138.0,0.70523,0.70454,1.3761
AUDUSD,30,2.0,2026-06,2026-06-14,2026-06-14 23:45:00,2026-06-15 00:45:00,BUY,0.7077,0.70705,0.709,0.70705,loss,-1.0,-65.0,0.7077,0.70705,0.9599
AUDUSD,30,2.0,2026-06,2026-06-15,2026-06-15 23:30:00,2026-06-16 00:00:00,BUY,0.70719,0.70692,0.70773,0.70692,loss,-1.0,-27.0,0.70719,0.70692,1.4211
AUDUSD,30,2.0,2026-06,2026-06-16,2026-06-16 23:45:00,2026-06-17 01:00:00,SELL,0.70675,0.70701,0.70623,0.70701,loss,-1.0,-26.0,0.70701,0.70675,1.3532
AUDUSD,30,2.0,2026-06,2026-06-17,2026-06-17 23:30:00,2026-06-18 00:00:00,BUY,0.70184,0.70141,0.7027,0.7027,win,2.0,86.0,0.70184,0.70141,1.0769
AUDUSD,30,2.0,2026-06,2026-06-18,2026-06-18 23:30:00,2026-06-18 23:45:00,SELL,0.70159,0.70176,0.70125,0.70125,win,2.0,34.0,0.70176,0.70159,0.623
