symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr
AUDUSD,60,1.1764705882352942,2026-05,2026-05-28,2026-05-29 00:00:00,2026-05-29 06:00:00,BUY,0.71646,0.71476,0.71846,0.71657,timeout,0.0118,0.0529,9.0,11.0,0.71646,0.71609,1.9114
AUDUSD,60,1.1764705882352942,2026-06,2026-06-01,2026-06-02 00:00:00,2026-06-02 06:00:00,SELL,0.71599,0.71769,0.71399,0.71679,timeout,-0.5235,0.0529,9.0,-80.0,0.71646,0.71599,2.1226
AUDUSD,60,1.1764705882352942,2026-06,2026-06-02,2026-06-03 00:15:00,2026-06-03 06:00:00,BUY,0.7178,0.7161,0.7198,0.7161,loss,-1.0529,0.0529,9.0,-170.0,0.7178,0.7171,3.8583
AUDUSD,60,1.1764705882352942,2026-06,2026-06-03,2026-06-04 01:00:00,2026-06-04 06:00:00,SELL,0.71275,0.71445,0.71075,0.71307,timeout,-0.2412,0.0529,9.0,-32.0,0.71368,0.71275,4.0062
AUDUSD,60,1.1764705882352942,2026-06,2026-06-04,2026-06-05 00:00:00,2026-06-05 01:15:00,SELL,0.71289,0.71459,0.71089,0.71089,win,1.1235,0.0529,9.0,200.0,0.71358,0.71289,4.1459
AUDUSD,60,1.1764705882352942,2026-06,2026-06-08,2026-06-09 00:00:00,2026-06-09 01:30:00,SELL,0.7037,0.7054,0.7017,0.7054,loss,-1.0529,0.0529,9.0,-170.0,0.70451,0.7037,4.2955
AUDUSD,60,1.1764705882352942,2026-06,2026-06-09,2026-06-10 00:00:00,2026-06-10 06:00:00,BUY,0.70241,0.70071,0.70441,0.70209,timeout,-0.2412,0.0529,9.0,-32.0,0.70241,0.70154,2.597
AUDUSD,60,1.1764705882352942,2026-06,2026-06-10,2026-06-11 00:15:00,2026-06-11 06:00:00,BUY,0.69994,0.69824,0.70194,0.70052,timeout,0.2882,0.0529,9.0,58.0,0.69994,0.6987,3.9817
AUDUSD,60,1.1764705882352942,2026-06,2026-06-11,2026-06-12 00:00:00,2026-06-12 06:00:00,SELL,0.70435,0.70605,0.70235,0.70371,timeout,0.3235,0.0529,9.0,64.0,0.70523,0.70435,1.755
AUDUSD,60,1.1764705882352942,2026-06,2026-06-15,2026-06-16 00:00:00,2026-06-16 04:45:00,SELL,0.70692,0.70862,0.70492,0.70492,win,1.1235,0.0529,9.0,200.0,0.70744,0.70692,2.7368
AUDUSD,60,1.1764705882352942,2026-06,2026-06-16,2026-06-17 00:00:00,2026-06-17 06:00:00,SELL,0.70648,0.70818,0.70448,0.70577,timeout,0.3647,0.0529,9.0,71.0,0.70701,0.70648,2.7584
AUDUSD,60,1.1764705882352942,2026-06,2026-06-17,2026-06-18 00:00:00,2026-06-18 02:45:00,BUY,0.70193,0.70023,0.70393,0.70393,win,1.1235,0.0529,9.0,200.0,0.70193,0.70141,1.3023
AUDUSD,60,1.1764705882352942,2026-06,2026-06-18,2026-06-19 00:00:00,2026-06-19 04:45:00,SELL,0.70119,0.70289,0.69919,0.69919,win,1.1235,0.0529,9.0,200.0,0.70176,0.70119,2.089
AUDUSD,60,1.1764705882352942,2026-06,2026-06-22,2026-06-23 00:00:00,2026-06-23 03:00:00,SELL,0.69934,0.70104,0.69734,0.69734,win,1.1235,0.0529,9.0,200.0,0.69994,0.69934,3.4855
AUDUSD,60,1.1764705882352942,2026-06,2026-06-23,2026-06-24 00:00:00,2026-06-24 06:00:00,BUY,0.69157,0.68987,0.69357,0.69153,timeout,-0.0765,0.0529,9.0,-4.0,0.69157,0.691,3.3814
AUDUSD,60,1.1764705882352942,2026-06,2026-06-24,2026-06-25 00:00:00,2026-06-25 06:00:00,SELL,0.68949,0.69119,0.68749,0.68949,timeout,-0.0529,0.0529,9.0,0.0,0.69,0.68949,2.0169
AUDUSD,60,1.1764705882352942,2026-06,2026-06-25,2026-06-26 00:00:00,2026-06-26 02:15:00,SELL,0.68984,0.69154,0.68784,0.68784,win,1.1235,0.0529,9.0,200.0,0.69085,0.68984,3.9719
