symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,setup_score,bpr_low,bpr_high,reason,pnl,balance
US30,H4,2026-01,2026-01-21 16:00:00,2026-01-22 12:00:00,SELL,49307.7,49435.69107,49051.71786,49435.69107,SL,-1.0148,0.0148,19.0,98,49323.4,49370.4,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-15.22,284.78
US30,H4,2026-01,2026-01-23 12:00:00,2026-01-23 16:00:00,BUY,49185.2,49003.33393,49548.93214,49003.33393,SL,-1.0104,0.0104,19.0,98,49068.5,49078.2,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-14.39,270.39
US30,H4,2026-01,2026-01-26 12:00:00,2026-01-26 16:00:00,SELL,49322.5,49420.4875,49126.525,49420.4875,SL,-1.0194,0.0194,19.0,97,49337.9,49371.6,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-13.78,256.61
US30,H4,2026-01,2026-01-29 12:00:00,2026-02-02 16:00:00,SELL,48743.4,49426.31964,47377.56071,49426.31964,SL,-1.0031,0.0031,21.0,100,49319.9,49371.6,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-12.87,243.74
US30,H4,2026-02,2026-02-13 04:00:00,2026-02-13 08:00:00,BUY,49391.7,49259.06964,49656.96071,49259.06964,SL,-1.0158,0.0158,21.0,97,49318.1,49381.3,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-12.38,231.36
US30,H4,2026-03,2026-03-03 16:00:00,2026-03-04 00:00:00,SELL,48645.8,48813.34107,48310.71786,48310.71786,TP,1.9875,0.0125,21.0,98,48675.5,48705.3,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,22.99,254.35
US30,H4,2026-03,2026-03-04 00:00:00,2026-03-04 12:00:00,BUY,48362.9,48181.33571,48726.02857,48726.02857,TP,1.9884,0.0116,21.0,96,48289.8,48389.1,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,25.29,279.64
US30,H4,2026-03,2026-03-23 08:00:00,2026-04-07 20:00:00,SELL,46246.4,47058.53929,44622.12143,47058.53929,SL,-1.0023,0.0023,19.0,100,46928.5,46948.0,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-14.01,265.62
US30,H4,2026-05,2026-05-04 12:00:00,2026-05-06 08:00:00,BUY,49104.6,48866.78929,49580.22143,49580.22143,TP,1.9912,0.0088,21.0,97,48921.7,49073.0,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,26.45,292.07
US30,H4,2026-05,2026-05-19 12:00:00,2026-05-20 12:00:00,BUY,49485.4,49241.93929,49972.32143,49972.32143,TP,1.9914,0.0086,21.0,98,49304.4,49335.5,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,29.08,321.15
US30,H4,2026-05,2026-05-21 12:00:00,2026-05-22 12:00:00,BUY,49974.3,49644.78929,50633.32143,50633.32143,TP,1.9936,0.0064,21.0,100,49712.6,49772.2,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,32.01,353.16
