symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr,risk_per_lot,lot_min,lot_max,lot_step,setup_score
AUDUSD,30,1.1111111111111112,2026-05,2026-05-28,2026-05-28 23:30:00,2026-05-29 06:00:00,SELL,0.71622,0.71802,0.71422,0.71657,timeout,-0.2444,0.05,9.0,-35.0,0.71646,0.71622,1.2399,180.0,0.01,200.0,0.01,100
EURUSD,30,1.1111111111111112,2026-05,2026-05-28,2026-05-28 23:45:00,2026-05-29 04:30:00,BUY,1.16526,1.16346,1.16726,1.16346,loss,-1.0444,0.0444,8.0,-180.0,1.16526,1.16497,1.2531,180.0,0.01,200.0,0.01,100
GBPUSD,30,1.1111111111111112,2026-05,2026-05-28,2026-05-28 23:45:00,2026-05-29 06:00:00,BUY,1.34451,1.34271,1.34651,1.34435,timeout,-0.1444,0.0556,10.0,-16.0,1.34451,1.3441,1.3732,180.0,0.01,200.0,0.01,100
AUDUSD,30,1.1111111111111112,2026-06,2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,SELL,0.71718,0.71898,0.71518,0.71601,timeout,0.6,0.05,9.0,117.0,0.7178,0.71718,3.4173,180.0,0.01,200.0,0.01,95
EURUSD,30,1.1111111111111112,2026-06,2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,SELL,1.16219,1.16399,1.16019,1.16171,timeout,0.2222,0.0444,8.0,48.0,1.16271,1.16219,2.0507,180.0,0.01,200.0,0.01,95
GBPUSD,30,1.1111111111111112,2026-06,2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,SELL,1.3455,1.3473,1.3435,1.34435,timeout,0.5833,0.0556,10.0,115.0,1.34621,1.3455,2.3224,180.0,0.01,200.0,0.01,95
AUDUSD,30,1.1111111111111112,2026-06,2026-06-03,2026-06-03 23:30:00,2026-06-04 06:00:00,SELL,0.71283,0.71463,0.71083,0.71307,timeout,-0.1833,0.05,9.0,-24.0,0.71368,0.71283,3.6615,180.0,0.01,200.0,0.01,95
EURUSD,30,1.1111111111111112,2026-06,2026-06-03,2026-06-03 23:45:00,2026-06-04 06:00:00,BUY,1.16081,1.15901,1.16281,1.16118,timeout,0.1611,0.0444,8.0,37.0,1.16081,1.16012,2.1708,180.0,0.01,200.0,0.01,95
GBPUSD,30,1.1111111111111112,2026-06,2026-06-03,2026-06-03 23:45:00,2026-06-04 06:00:00,BUY,1.34251,1.34071,1.34451,1.34317,timeout,0.3111,0.0556,10.0,66.0,1.34251,1.34171,1.9893,180.0,0.01,200.0,0.01,100
AUDUSD,30,1.1111111111111112,2026-06,2026-06-04,2026-06-04 23:30:00,2026-06-05 01:00:00,SELL,0.7133,0.7151,0.7113,0.7113,win,1.0611,0.05,9.0,200.0,0.71358,0.7133,1.6824,180.0,0.01,200.0,0.01,100
EURUSD,30,1.1111111111111112,2026-06,2026-06-04,2026-06-04 23:30:00,2026-06-05 06:00:00,SELL,1.16117,1.16297,1.15917,1.16144,timeout,-0.1944,0.0444,8.0,-27.0,1.16136,1.16117,0.7328,180.0,0.01,200.0,0.01,100
GBPUSD,30,1.1111111111111112,2026-06,2026-06-04,2026-06-04 23:30:00,2026-06-05 06:00:00,SELL,1.34231,1.34411,1.34031,1.34259,timeout,-0.2111,0.0556,10.0,-28.0,1.34245,1.34231,0.4667,180.0,0.01,200.0,0.01,95
AUDUSD,30,1.1111111111111112,2026-06,2026-06-09,2026-06-09 23:30:00,2026-06-10 06:00:00,SELL,0.70158,0.70338,0.69958,0.70209,timeout,-0.3333,0.05,9.0,-51.0,0.70224,0.70158,1.9701,180.0,0.01,200.0,0.01,100
EURUSD,30,1.1111111111111112,2026-06,2026-06-09,2026-06-09 23:30:00,2026-06-10 05:30:00,SELL,1.15345,1.15525,1.15145,1.15525,loss,-1.0444,0.0444,8.0,-180.0,1.15389,1.15345,1.3812,180.0,0.01,200.0,0.01,100
