policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,balance_at_entry,risk_amount,pnl,balance_before_settlement,balance_after
dynamic_score,LTA,XAGUSD,M15,2026-05,2026-05-28 03:00:00,2026-05-28 05:30:00,SELL,72.988,74.084,3.0,72.988,trail_stop,-0.0003,91,0.38,0.0003,30.0,0.7292,,"max(structure,1.00ATR)",score,Entry Model 1 - Double Wick Confirmation,300.0,15.0,-0.0,300.0,300.0
dynamic_score,LTA,XAGUSD,M15,2026-05,2026-05-28 17:15:00,2026-05-29 00:15:00,SELL,75.574,76.112393,5.0,76.112393,loss,-1.0006,98,0.430714,0.0006,30.0,0.8438,,"max(structure,1.25ATR)",score,Entry Model 1 - Double Wick Confirmation,300.0,15.0,-15.01,300.0,284.99
dynamic_score,LTA,XAUUSD,M15,2026-05,2026-05-28 17:15:00,2026-05-29 01:15:00,SELL,4502.156,4520.489214,5.0,4520.489214,loss,-1.0002,98,14.666571,0.0002,280.0,0.8646,,"max(structure,1.25ATR)",score,Entry Model 1 - Double Wick Confirmation,300.0,15.0,-15.0,284.99,269.99
dynamic_score,LTA,XAUUSD,M15,2026-05,2026-05-29 01:45:00,2026-05-29 12:15:00,BUY,4506.564,4490.76396,6.0,4522.36404,trail_stop,0.9998,98,7.560286,0.0002,280.0,0.2292,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation,269.99,13.5,13.5,269.99,283.49
dynamic_score,LTA,XAGUSD,M15,2026-06,2026-06-02 01:30:00,2026-06-02 03:00:00,SELL,75.343,75.95324,6.0,75.343,trail_stop,-0.0005,98,0.294929,0.0005,30.0,0.4896,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,283.49,14.17,-0.01,283.49,283.48
dynamic_score,LTA,XAGUSD,M15,2026-06,2026-06-02 08:15:00,2026-06-02 11:30:00,SELL,76.747,77.05236,3.0,76.44164,trail_stop,0.999,90,0.315714,0.001,30.0,0.5417,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation,283.48,14.17,14.16,283.48,297.64
dynamic_score,LTA,XAUUSD,M15,2026-06,2026-06-02 07:30:00,2026-06-02 23:15:00,SELL,4531.813,4542.73601,6.0,4466.27494,win,5.9997,99,7.600071,0.0003,280.0,0.3438,,"max(structure,0.80ATR)",score,Entry Model 3 - Confirmation of Internal Structure,283.48,14.17,85.04,297.64,382.68
dynamic_score,LTA,XAUUSD,M15,2026-06,2026-06-03 07:45:00,2026-06-03 14:00:00,SELL,4453.345,4473.67659,4.0,4453.345,trail_stop,-0.0001,95,9.570571,0.0001,280.0,0.9062,,"max(structure,1.25ATR)",score,Entry Model 1 - Double Wick Confirmation,382.68,19.13,-0.0,382.68,382.68
dynamic_score,LTA,XAGUSD,M15,2026-06,2026-06-03 01:00:00,2026-06-04 01:00:00,SELL,74.515,75.36644,6.0,73.66356,trail_stop,0.9996,100,0.302929,0.0004,30.0,0.6042,,"max(structure,1.00ATR)",score,Entry Model 3 - Confirmation of Internal Structure + Entry Model 2 - Internal Swing Confirmation,382.68,19.13,19.13,382.68,401.81
dynamic_score,LTA,XAGUSD,M15,2026-06,2026-06-05 01:30:00,2026-06-05 08:15:00,SELL,72.737,74.01145,5.0,72.737,trail_stop,-0.0002,97,0.263,0.0002,30.0,0.4167,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation,401.81,20.09,-0.0,401.81,401.81
dynamic_score,LTA,XAUUSD,M15,2026-06,2026-06-04 14:00:00,2026-06-05 15:15:00,SELL,4487.819,4517.45397,5.0,4351.605,timeout,4.5963,100,12.913143,0.0001,280.0,0.9583,,"max(structure,1.25ATR)",score,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,401.81,20.09,92.34,401.81,494.15
dynamic_score,LTA,XAGUSD,M15,2026-06,2026-06-08 13:00:00,2026-06-08 14:45:00,SELL,68.348,68.98394,6.0,68.348,trail_stop,-0.0005,100,0.446286,0.0005,30.0,0.6354,,"max(structure,1.00ATR)",score,Entry Model 3 - Confirmation of Internal Structure,494.15,24.71,-0.01,494.15,494.14
dynamic_score,LTA,XAUUSD,M15,2026-06,2026-06-09 17:45:00,2026-06-10 02:30:00,SELL,4262.959,4285.055696,4.0,4174.572214,win,3.9999,96,17.677357,0.0001,260.0,0.9271,,"max(structure,1.25ATR)",score,Entry Model 1 - Double Wick Confirmation,494.14,24.71,98.83,494.14,592.97
