kind,server_epoch,ny_day,side,high,low,poc,vah,val,requested_entry,stop,target,lots,planned_cash_risk,cutoff_epoch
profile,1758288600,20250919,0,24565.39,24436.12,24493.69,24531.05,24476.52,0.0,0.0,0.0,0.0,0.0,1758312000
entry,1758288900,20250919,1,24565.39,24436.12,24493.69,24531.05,24476.52,24534.02,24476.51,24565.39,1.74,100.06739999999999,1758312000
profile,1758547800,20250922,0,24660.0,24535.04,24563.35,24624.86,24546.76,0.0,0.0,0.0,0.0,0.0,1758571200
entry,1758548100,20250922,1,24660.0,24535.04,24563.35,24624.86,24546.76,24637.06,24546.75,24660.0,1.12,101.14720000000001,1758571200
profile,1758634200,20250923,0,24813.44,24760.64,24787.45,24795.29,24776.32,0.0,0.0,0.0,0.0,0.0,1758657600
entry,1758634800,20250923,-1,24813.44,24760.64,24787.45,24795.29,24776.32,24766.85,24795.3,24760.64,3.55,100.99749999999999,1758657600
profile,1758720600,20250924,0,24703.61,24603.17,24694.98,24702.04,24640.84,0.0,0.0,0.0,0.0,0.0,1758744000
entry,1758720900,20250924,-1,24703.61,24603.17,24694.98,24702.04,24640.84,24630.54,24702.05,24603.17,1.42,101.5442,1758744000
profile,1758807000,20250925,0,24587.59,24335.53,24408.39,24528.51,24335.53,0.0,0.0,0.0,0.0,0.0,1758830400
invalid_geometry,1758807300,20250925,-1,24587.59,24335.53,24408.39,24528.51,24335.53,24313.51,24528.52,24335.53,0.0,0.0,1758830400
profile,1758893400,20250926,0,24543.18,24366.79,24398.49,24452.23,24380.57,0.0,0.0,0.0,0.0,0.0,1758916800
entry,1758893700,20250926,1,24543.18,24366.79,24398.49,24452.23,24380.57,24490.69,24380.56,24543.18,0.93,102.4209,1758916800
profile,1759152600,20250929,0,24714.67,24529.93,24693.02,24711.78,24616.53,0.0,0.0,0.0,0.0,0.0,1759176000
invalid_geometry,1759153500,20250929,1,24714.67,24529.93,24693.02,24711.78,24616.53,24721.13,24616.52,24714.67,0.0,0.0,1759176000
profile,1759239000,20250930,0,24664.47,24563.67,24606.98,24636.12,24588.87,0.0,0.0,0.0,0.0,0.0,1759262400
entry,1759239300,20250930,-1,24664.47,24563.67,24606.98,24636.12,24588.87,24571.9,24636.13,24563.67,1.5699999999999998,100.8411,1759262400
profile,1759325400,20251001,0,24687.44,24445.06,24575.72,24668.5,24517.02,0.0,0.0,0.0,0.0,0.0,1759348800
entry,1759328700,20251001,1,24687.44,24445.06,24575.72,24668.5,24517.02,24681.78,24517.01,24687.44,0.61,100.50970000000001,1759348800
profile,1759411800,20251002,0,24993.9,24816.07,24920.27,24929.99,24849.41,0.0,0.0,0.0,0.0,0.0,1759435200
entry,1759412100,20251002,1,24993.9,24816.07,24920.27,24929.99,24849.41,24931.63,24849.4,24993.9,1.23,101.1429,1759435200
profile,1759498200,20251003,0,25007.99,24885.83,24991.77,25000.36,24945.0,0.0,0.0,0.0,0.0,0.0,1759521600
entry,1759500000,20251003,-1,25007.99,24885.83,24991.77,25000.36,24945.0,24919.5,25000.37,24885.83,1.23,99.4701,1759521600
profile,1759757400,20251006,0,25058.64,24821.43,24923.36,24984.51,24869.61,0.0,0.0,0.0,0.0,0.0,1759780800
entry,1759759500,20251006,1,25058.64,24821.43,24923.36,24984.51,24869.61,24993.46,24869.6,25058.64,0.81,100.3266,1759780800
profile,1759843800,20251007,0,25096.69,24947.19,24974.05,25003.25,24951.86,0.0,0.0,0.0,0.0,0.0,1759867200
entry,1759844100,20251007,1,25096.69,24947.19,24974.05,25003.25,24951.86,25062.4,24951.85,25096.69,0.91,100.6005,1759867200
profile,1759930200,20251008,0,24936.03,24852.33,24911.84,24917.72,24879.79,0.0,0.0,0.0,0.0,0.0,1759953600
invalid_geometry,1759930500,20251008,1,24936.03,24852.33,24911.84,24917.72,24879.79,24948.54,24879.78,24936.03,0.0,0.0,1759953600
profile,1760016600,20251009,0,25220.61,25122.58,25155.51,25176.19,25140.96,0.0,0.0,0.0,0.0,0.0,1760040000
entry,1760016900,20251009,-1,25220.61,25122.58,25155.51,25176.19,25140.96,25135.85,25176.2,25122.58,2.4699999999999998,99.66449999999999,1760040000
