side,pivot_time,confirmation_time,entry_time,entry,exit_time,exit,exit_reason,bars_held,pnl_usd,return_pct
buy,2026-06-24T20:00:00+00:00,2026-06-25T20:00:00+00:00,2026-06-26T00:00:00+00:00,4029.44,2026-06-29T20:00:00+00:00,4023.89,opposite_signal,11,-55.5,-5.55
sell,2026-06-26T16:00:00+00:00,2026-06-29T16:00:00+00:00,2026-06-29T20:00:00+00:00,4023.89,2026-07-01T08:00:00+00:00,3976.79,opposite_signal,9,471.0,47.099999999999994
buy,2026-06-30T04:00:00+00:00,2026-07-01T04:00:00+00:00,2026-07-01T08:00:00+00:00,3976.79,2026-07-07T08:00:00+00:00,4126.59,opposite_signal,23,1498.0,149.8
buy,2026-07-01T08:00:00+00:00,2026-07-02T08:00:00+00:00,2026-07-02T12:00:00+00:00,4076.29,2026-07-07T08:00:00+00:00,4126.59,opposite_signal,16,503.0,50.3
sell,2026-07-06T04:00:00+00:00,2026-07-07T04:00:00+00:00,2026-07-07T08:00:00+00:00,4126.59,2026-07-09T20:00:00+00:00,4128.32,opposite_signal,15,-17.3,-1.73
sell,2026-07-07T16:00:00+00:00,2026-07-08T16:00:00+00:00,2026-07-08T20:00:00+00:00,4063.8,2026-07-09T20:00:00+00:00,4128.32,opposite_signal,6,-645.2,-64.52
buy,2026-07-08T16:00:00+00:00,2026-07-09T16:00:00+00:00,2026-07-09T20:00:00+00:00,4128.32,2026-07-10T20:00:00+00:00,4104.42,opposite_signal,6,-239.0,-23.9
sell,2026-07-09T16:00:00+00:00,2026-07-10T16:00:00+00:00,2026-07-10T20:00:00+00:00,4104.42,2026-07-15T04:00:00+00:00,4059.21,opposite_signal,14,452.1,45.21
buy,2026-07-14T00:00:00+00:00,2026-07-15T00:00:00+00:00,2026-07-15T04:00:00+00:00,4059.21,2026-07-15T16:00:00+00:00,4068.42,opposite_signal,3,92.1,9.209999999999999
sell,2026-07-14T12:00:00+00:00,2026-07-15T12:00:00+00:00,2026-07-15T16:00:00+00:00,4068.42,2026-07-20T20:00:00+00:00,4010.02,opposite_signal,19,584.0,58.4
sell,2026-07-15T20:00:00+00:00,2026-07-16T20:00:00+00:00,2026-07-17T00:00:00+00:00,3976.02,2026-07-20T20:00:00+00:00,4010.02,opposite_signal,11,-340.0,-34.0
buy,2026-07-17T16:00:00+00:00,2026-07-20T16:00:00+00:00,2026-07-20T20:00:00+00:00,4010.02,2026-07-23T20:00:00+00:00,4051.52,opposite_signal,18,415.0,41.5
sell,2026-07-22T16:00:00+00:00,2026-07-23T16:00:00+00:00,2026-07-23T20:00:00+00:00,4051.52,2026-07-27T12:00:00+00:00,4095.39,opposite_signal,10,-438.7,-43.87
buy,2026-07-24T08:00:00+00:00,2026-07-27T08:00:00+00:00,2026-07-27T12:00:00+00:00,4095.39,2026-07-28T04:00:00+00:00,4057.96,opposite_signal,4,-374.3,-37.43
sell,2026-07-27T00:00:00+00:00,2026-07-28T00:00:00+00:00,2026-07-28T04:00:00+00:00,4057.96,2026-07-29T00:00:00+00:00,4022.11,end_of_test,5,358.5,35.85
