symbol,session_date,direction,entry_mode,stop_mode,rr_target,entry_time,exit_time,entry,stop,target,exit_price,pnl_r,outcome,asian_high,asian_low,asian_range,adr,range_adr_fraction,exit_mode,trail_start_r,trail_distance_r,mae_r,ambiguous_bar,instrument,trade_id,portfolio_status,portfolio_risk_cash,portfolio_risk_pct,portfolio_pnl_cash,portfolio_balance_after_exit,portfolio_exit_sequence
GBPJPY..,2026-06-02,buy,confirmed_close,opposite,1.7,2026-06-02 08:30:00+00:00,2026-06-02 17:00:00+00:00,215.086,214.546,216.00400000000005,215.232,0.2703703703703353,win,215.061,214.546,0.5150000000000148,1.0482857142857134,0.49127827745981284,fixed,1.0,1.0,-0.14814814814816568,False,GBPJPY,39,accepted,5.0,0.5,1.3518518518516764,1001.3518518518516,1
XAUUSD..,2026-06-03,sell,confirmed_close,midpoint,1.7,2026-06-03 09:00:00+00:00,2026-06-03 17:00:00+00:00,4457.03,4479.485000000001,4418.856499999998,4445.56,0.5107993765307912,win,4496.67,4462.3,34.36999999999989,100.49071428571428,0.34202165089880265,fixed,2.0,0.5,-0.683144065909578,False,XAUUSD,63,accepted,5.006759259259258,0.5,2.557449508069395,1006.2040660204146,3
GBPJPY..,2026-06-03,sell,confirmed_close,opposite,1.7,2026-06-03 09:15:00+00:00,2026-06-03 17:00:00+00:00,215.012,215.372,214.39999999999998,214.847,0.45833333333329385,win,215.372,215.086,0.28600000000000136,1.0568571428571423,0.2706136793728049,fixed,1.0,1.0,-0.5277777777777515,False,GBPJPY,40,accepted,5.006759259259258,0.5,2.294764660493629,1003.6466165123453,2
EURJPY..,2026-06-05,buy,mechanical_oco,midpoint,1.7,2026-06-05 08:00:00+00:00,2026-06-05 10:33:00+00:00,185.818,185.7095,186.00245000000004,186.00245000000004,1.7,win,185.818,185.601,0.21700000000001296,0.7346428571428569,0.29538162372388743,fixed,2.0,1.0,-0.5806451612903648,False,EURJPY,30,accepted,5.0310203301020735,0.5,8.552734561173525,1014.7568005815882,4
BTCUSD,2026-06-05,sell,confirmed_close,midpoint,1.7,2026-06-05 09:15:00+00:00,2026-06-05 11:00:00+00:00,62003.8,63073.15,60185.905000000006,63073.15,-1.0,loss,63899.9,62246.4,1653.5,2486.128571428573,0.6650903010417799,fixed,0.5,0.5,-1.0,False,BTCUSD,0,accepted,5.0310203301020735,0.5,-5.0310203301020735,1009.7257802514862,5
GBPJPY..,2026-06-05,buy,confirmed_close,opposite,1.7,2026-06-05 09:45:00+00:00,2026-06-05 16:01:00+00:00,214.911,214.501,215.608,214.501,-1.0,loss,214.843,214.501,0.34199999999998454,0.9906428571428592,0.3452303698896657,fixed,1.0,1.0,-1.0,False,GBPJPY,41,accepted,5.0310203301020735,0.5,-5.0310203301020735,1004.6947599213842,6
BTCUSD,2026-06-07,buy,confirmed_close,midpoint,1.7,2026-06-07 09:45:00+00:00,2026-06-07 17:00:00+00:00,62165.6,61122.75,63938.44499999999,61696.1,-0.45020856307235047,loss,61862.1,60383.4,1478.699999999997,2639.7285714285745,0.5601712297259982,fixed,0.5,0.5,-0.6161001102747288,False,BTCUSD,1,accepted,12.86009292699372,1.2800000000000002,-5.78972395763874,998.9050359637454,7
XAUUSD..,2026-06-09,buy,confirmed_close,midpoint,1.7,2026-06-09 08:45:00+00:00,2026-06-09 10:14:00+00:00,4348.82,4327.535,4385.004499999999,4327.535,-1.0,loss,4342.12,4312.95,29.170000000000073,97.7914285714285,0.29828790136442085,fixed,2.0,0.5,-1.0,False,XAUUSD,64,accepted,20.45757513653751,2.0480000000000005,-20.45757513653751,978.4474608272079,8
BTCUSD,2026-06-10,sell,confirmed_close,midpoint,1.7,2026-06-10 12:15:00+00:00,2026-06-10 15:31:00+00:00,61007.4,61619.35,59967.08500000001,61619.35,-1.0,loss,62103.1,61135.6,967.5,2832.3642857142877,0.3415874168728294,fixed,0.5,0.5,-1.0,False,BTCUSD,2,accepted,32.061766396385956,3.2768000000000006,-32.061766396385956,946.385694430822,9
BTCUSD,2026-06-11,buy,confirmed_close,midpoint,1.7,2026-06-11 09:45:00+00:00,2026-06-11 17:00:00+00:00,62893.7,61899.600000000006,64583.669999999984,62973.7,0.08047480132783492,win,62773.8,61025.4,1748.4000000000015,2872.107142857144,0.6087516631641778,fixed,0.5,0.5,-0.459712302585257,False,BTCUSD,3,accepted,49.6178662961747,5.242880000000001,3.992987932495735,950.3786823633177,10
BTCUSD,2026-06-12,sell,confirmed_close,midpoint,1.7,2026-06-12 09:30:00+00:00,2026-06-12 11:21:00+00:00,63054.7,63489.45,62315.625,63489.45,-1.0,loss,63767.8,63211.1,556.7000000000044,2884.8571428571436,0.1929731603446583,fixed,0.5,0.5,-1.0,False,BTCUSD,4,accepted,4.751893411816589,0.5,-4.751893411816589,945.6267889515011,11
BTCUSD,2026-06-13,buy,confirmed_close,midpoint,1.7,2026-06-13 11:45:00+00:00,2026-06-13 17:00:00+00:00,63850.0,63589.0,64293.7,64053.6,0.7800766283524848,win,63798.2,63379.8,418.3999999999942,2867.421428571429,0.14591507053375277,fixed,0.5,0.5,-0.658620689655178,False,BTCUSD,5,accepted,7.565014311612009,0.8,5.90129085764059,951.5280798091417,12
XAUUSD..,2026-06-16,buy,confirmed_close,midpoint,1.7,2026-06-16 11:00:00+00:00,2026-06-16 17:00:00+00:00,4335.36,4319.51,4362.3049999999985,4337.07,0.10788643533123629,win,4333.1,4305.92,27.18000000000029,120.24642857142855,0.22603581929965497,fixed,2.0,0.5,-0.24227129337535447,False,XAUUSD,65,accepted,4.757640399045709,0.5,0.513284863240922,947.822481461382,15
GBPJPY..,2026-06-16,buy,confirmed_close,opposite,1.7,2026-06-16 11:30:00+00:00,2026-06-16 17:00:00+00:00,215.089,214.515,216.06480000000002,215.154,0.11324041811846051,win,215.04,214.515,0.5250000000000057,1.056285714285713,0.49702461455234576,fixed,1.0,1.0,-0.18989547038328664,False,GBPJPY,42,accepted,4.757640399045709,0.5,0.5387571880452154,947.3091965981412,14
BTCUSD,2026-06-16,buy,confirmed_close,midpoint,1.7,2026-06-16 12:00:00+00:00,2026-06-16 16:11:00+00:00,66865.5,66059.0,68236.55,66059.0,-1.0,loss,66520.2,65597.8,922.3999999999942,2863.0428571428574,0.3221747092254474,fixed,0.5,0.5,-1.0,False,BTCUSD,6,accepted,4.757640399045709,0.5,-4.757640399045709,946.770439410096,13
GBPJPY..,2026-06-17,sell,confirmed_close,opposite,1.7,2026-06-17 09:15:00+00:00,2026-06-17 17:00:00+00:00,215.12,215.432,214.58960000000002,214.785,1.0737179487180313,win,215.432,215.13,0.3019999999999925,1.0938571428571444,0.2760872404335829,fixed,1.0,1.0,-0.08333333333337128,False,GBPJPY,43,accepted,4.73911240730691,0.5,5.088470052717747,953.8799681540129,17
BTCUSD,2026-06-17,sell,confirmed_close,midpoint,1.7,2026-06-17 11:15:00+00:00,2026-06-17 17:00:00+00:00,65260.7,65741.45000000001,64443.424999999974,65162.4,0.20447217888714023,win,66064.1,65418.8,645.3000000000029,2612.8785714285723,0.246968996973782,fixed,0.5,0.5,-0.1637025481019282,False,BTCUSD,7,accepted,4.73911240730691,0.5,0.9690166399131244,948.7914981012951,16
BTCUSD,2026-06-23,sell,confirmed_close,midpoint,1.7,2026-06-23 08:30:00+00:00,2026-06-23 11:17:00+00:00,63390.9,63950.65,62439.325000000004,62439.325000000004,1.7,win,64384.4,63516.9,867.5,1939.235714285715,0.4473411837505938,fixed,0.5,0.5,-0.10897722197409558,False,BTCUSD,8,accepted,4.769399840770064,0.5,8.10797972930911,952.4491482017818,20
EURJPY..,2026-06-23,buy,mechanical_oco,midpoint,1.7,2026-06-23 08:54:00+00:00,2026-06-23 10:01:00+00:00,184.674,184.54250000000002,184.89755,184.54250000000002,-1.0,loss,184.674,184.411,0.26300000000000523,1.003071428571431,0.26219468774478843,fixed,2.0,1.0,-1.0,False,EURJPY,31,accepted,4.769399840770064,0.5,-4.769399840770064,949.1105683132428,18
