date,event
2022-01-07,NFP
2022-01-26,FOMC
2022-02-04,NFP
2022-03-04,NFP
2022-03-16,FOMC
2022-04-01,NFP
2022-05-04,FOMC
2022-05-06,NFP
2022-06-03,NFP
2022-06-15,FOMC
2022-07-01,NFP
2022-07-27,FOMC
2022-08-05,NFP
2022-09-02,NFP
2022-09-21,FOMC
2022-10-07,NFP
2022-11-02,FOMC
2022-11-04,NFP
2022-12-02,NFP
2022-12-14,FOMC
2023-01-06,NFP
2023-02-01,FOMC
2023-02-03,NFP
2023-03-03,NFP
2023-03-22,FOMC
2023-04-07,NFP
2023-05-03,FOMC
2023-05-05,NFP
2023-06-02,NFP
2023-06-14,FOMC
2023-07-07,NFP
2023-07-26,FOMC
2023-08-04,NFP
2023-09-01,NFP
2023-09-20,FOMC
2023-10-06,NFP
2023-11-01,FOMC
2023-11-03,NFP
2023-12-01,NFP
2023-12-13,FOMC
2024-01-05,NFP
2024-01-31,FOMC
2024-02-02,NFP
2024-03-01,NFP
2024-03-20,FOMC
2024-04-05,NFP
2024-05-01,FOMC
2024-05-03,NFP
2024-06-07,NFP
2024-06-12,FOMC
2024-07-05,NFP
2024-07-31,FOMC
2024-08-02,NFP
2024-09-06,NFP
2024-09-18,FOMC
2024-10-04,NFP
2024-11-01,NFP
2024-11-07,FOMC
2024-12-06,NFP
2024-12-18,FOMC
2025-01-03,NFP
2025-01-29,FOMC
2025-02-07,NFP
2025-03-07,NFP
2025-03-19,FOMC
2025-04-04,NFP
2025-05-02,NFP
2025-05-07,FOMC
2025-06-06,NFP
2025-06-18,FOMC
2025-07-04,NFP
2025-07-30,FOMC
2025-08-01,NFP
2025-08-22,FOMC
2025-09-05,NFP
2025-09-17,FOMC
2025-10-29,FOMC
2025-11-07,NFP
2025-12-05,NFP
2025-12-10,FOMC
2026-01-02,NFP
2026-01-28,FOMC
2026-02-06,NFP
2026-03-06,NFP
2026-03-18,FOMC
2026-04-03,NFP
2026-04-29,FOMC
2026-05-01,NFP
2026-06-05,NFP
2026-06-17,FOMC
2026-07-03,NFP
2026-07-29,FOMC
