symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,setup_score,bpr_low,bpr_high,reason,pnl,balance
US30,M30,2025-12,2025-12-29 14:30:00,2025-12-29 18:00:00,SELL,48599.7,48772.6,48253.9,48522.8,SMART_EXIT,0.4338,0.011,19.0,100,48742.7,48745.4,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 3.50 ATR; lot sizing must preserve the configured dollar-risk cap.,6.51,306.51
US30,M15,2026-01,2026-01-02 13:45:00,2026-01-02 14:15:00,BUY,48262.2,48213.64686,48359.30627,48229.0,SMART_EXIT,-0.7229,0.0391,19.0,100,48243.5,48243.8,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 2.05 ATR; lot sizing must preserve the configured dollar-risk cap.,-11.08,295.43
US30,M30,2026-01,2026-01-07 19:00:00,2026-01-08 08:00:00,SELL,49184.7,49504.85,48544.4,48941.2,SMART_EXIT,0.7546,0.0059,19.0,100,49266.8,49281.2,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 3.50 ATR; lot sizing must preserve the configured dollar-risk cap.,11.15,306.57
US30,M15,2026-01,2026-01-09 14:15:00,2026-01-09 14:45:00,BUY,49301.1,49152.55,49598.2,49301.1,TRAIL,-0.0141,0.0141,21.0,100,49292.8,49293.2,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 3.50 ATR; lot sizing must preserve the configured dollar-risk cap.,-0.22,306.36
US30,M15,2026-01,2026-01-12 13:45:00,2026-01-12 14:30:00,BUY,49219.4,49168.65083,49320.89833,49219.4,SL_SAME_BAR,-0.0374,0.0374,19.0,100,49201.6,49203.6,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 1.62 ATR; lot sizing must preserve the configured dollar-risk cap.,-0.57,305.79
XAUUSD,M30,2026-01,2026-01-15 23:00:00,2026-01-16 01:00:00,SELL,4609.022,4622.03761,4582.99079,4606.066,SMART_EXIT,0.227,0.0001,160.0,100,4616.621,4617.411,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 1.50 ATR; lot sizing must preserve the configured dollar-risk cap.,3.47,309.26
US30,M15,2026-01,2026-01-19 13:00:00,2026-01-19 14:30:00,BUY,49008.1,48941.1473,49142.00541,48941.1473,SL,-1.0284,0.0284,19.0,100,48992.6,49005.3,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 1.59 ATR; lot sizing must preserve the configured dollar-risk cap.,-15.9,293.35
US30,M30,2026-01,2026-01-20 05:30:00,2026-01-20 06:00:00,SELL,48943.2,48998.00357,48833.59286,48833.59286,TP,1.9617,0.0383,21.0,100,48958.1,48965.2,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 1.50 ATR; lot sizing must preserve the configured dollar-risk cap.,28.77,322.13
US30,M15,2026-01,2026-01-21 10:30:00,2026-01-21 11:45:00,SELL,48598.0,48663.11541,48467.76919,48467.76919,TP,1.9677,0.0323,21.0,100,48596.8,48607.2,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 2.24 ATR; lot sizing must preserve the configured dollar-risk cap.,31.69,353.82
XAUUSD,M30,2026-01,2026-01-22 01:00:00,2026-01-22 05:30:00,SELL,4795.969,4854.7601,4678.3868,4821.283,SMART_EXIT,-0.4306,0.0,160.0,100,4801.693,4815.136,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 1.98 ATR; lot sizing must preserve the configured dollar-risk cap.,-7.62,346.2
US30,M30,2026-01,2026-01-23 14:30:00,2026-01-25 23:00:00,SELL,49159.2,49389.55,48698.5,48940.1,SMART_EXIT,0.942,0.0091,21.0,100,49222.4,49237.4,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 3.50 ATR; lot sizing must preserve the configured dollar-risk cap.,16.31,362.51
US30,M30,2026-01,2026-01-27 19:30:00,2026-01-28 00:30:00,SELL,49016.7,49266.01233,48518.07534,49057.2,SMART_EXIT,-0.1701,0.0076,19.0,100,49040.7,49050.4,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 2.62 ATR; lot sizing must preserve the configured dollar-risk cap.,-3.08,359.43
