kind,server_epoch,ny_day,side,high,low,poc,vah,val,requested_entry,stop,target,lots,planned_cash_risk,cutoff_epoch
profile,1632144600,20210920,0,1761.22,1741.858,1752.598,1757.59,1746.699,0.0,0.0,0.0,0.0,0.0,1632168000
entry,1632145200,20210920,1,1761.22,1741.858,1752.598,1757.59,1746.699,1757.976,1746.698,1761.22,0.09,101.502,1632168000
profile,1632231000,20210921,0,1775.037,1757.906,1762.323,1767.275,1759.244,0.0,0.0,0.0,0.0,0.0,1632254400
entry,1632231300,20210921,1,1775.037,1757.906,1762.323,1767.275,1759.244,1773.037,1759.243,1775.037,0.08,110.352,1632254400
profile,1632317400,20210922,0,1780.292,1771.481,1774.992,1777.539,1772.858,0.0,0.0,0.0,0.0,0.0,1632340800
entry,1632324300,20210922,1,1780.292,1771.481,1774.992,1777.539,1772.858,1778.884,1772.857,1780.292,0.17,102.45900000000002,1632340800
profile,1632403800,20210923,0,1776.566,1753.992,1763.692,1771.628,1761.046,0.0,0.0,0.0,0.0,0.0,1632427200
entry,1632404100,20210923,-1,1776.566,1753.992,1763.692,1771.628,1761.046,1754.987,1771.629,1753.992,0.06,99.852,1632427200
profile,1632490200,20210924,0,1757.598,1741.275,1754.92,1756.323,1747.906,0.0,0.0,0.0,0.0,0.0,1632513600
entry,1632490500,20210924,-1,1757.598,1741.275,1754.92,1756.323,1747.906,1744.09,1756.324,1741.275,0.09,110.10600000000001,1632513600
profile,1632749400,20210927,0,1760.832,1744.846,1749.467,1757.585,1747.094,0.0,0.0,0.0,0.0,0.0,1632772800
profile,1632835800,20210928,0,1754.448,1728.106,1743.129,1748.274,1730.987,0.0,0.0,0.0,0.0,0.0,1632859200
profile,1632922200,20210929,0,1745.51,1733.327,1738.562,1742.274,1736.563,0.0,0.0,0.0,0.0,0.0,1632945600
entry,1632924300,20210929,-1,1745.51,1733.327,1738.562,1742.274,1736.563,1735.218,1742.275,1733.327,0.15,105.855,1632945600
profile,1633008600,20210930,0,1741.531,1722.249,1732.643,1733.999,1727.07,0.0,0.0,0.0,0.0,0.0,1633032000
invalid_geometry,1633008900,20210930,1,1741.531,1722.249,1732.643,1733.999,1727.07,1742.334,1727.069,1741.531,0.0,0.0,1633032000
profile,1633095000,20211001,0,1759.792,1749.722,1754.678,1756.016,1752.239,0.0,0.0,0.0,0.0,0.0,1633118400
entry,1633095300,20211001,1,1759.792,1749.722,1754.678,1756.016,1752.239,1758.282,1752.238,1759.792,0.17,102.748,1633118400
profile,1633354200,20211004,0,1765.694,1747.713,1764.149,1765.413,1752.77,0.0,0.0,0.0,0.0,0.0,1633377600
entry,1633354500,20211004,-1,1765.694,1747.713,1764.149,1765.413,1752.77,1748.691,1765.414,1747.713,0.06,100.338,1633377600
profile,1633440600,20211005,0,1769.384,1751.337,1757.964,1761.206,1754.439,0.0,0.0,0.0,0.0,0.0,1633464000
entry,1633440900,20211005,-1,1769.384,1751.337,1757.964,1761.206,1754.439,1754.337,1761.207,1751.337,0.15,103.05,1633464000
profile,1633527000,20211006,0,1761.275,1745.897,1748.42,1756.71,1746.618,0.0,0.0,0.0,0.0,0.0,1633550400
entry,1633527300,20211006,1,1761.275,1745.897,1748.42,1756.71,1746.618,1757.859,1746.617,1761.275,0.09,101.178,1633550400
profile,1633613400,20211007,0,1766.929,1751.973,1762.839,1764.592,1758.283,0.0,0.0,0.0,0.0,0.0,1633636800
entry,1633613700,20211007,-1,1766.929,1751.973,1762.839,1764.592,1758.283,1756.023,1764.593,1751.973,0.12,102.83999999999999,1633636800
timed_exit,1633636800,20211007,0,1766.929,1751.973,1762.839,1764.592,1758.283,0.0,0.0,0.0,0.0,0.0,1633636800
profile,1633699800,20211008,0,1781.33,1753.357,1759.695,1764.284,1753.357,0.0,0.0,0.0,0.0,0.0,1633723200
entry,1633700100,20211008,1,1781.33,1753.357,1759.695,1764.284,1753.357,1777.256,1753.356,1781.33,0.05,119.5,1633723200
timed_exit,1633723200,20211008,0,1781.33,1753.357,1759.695,1764.284,1753.357,0.0,0.0,0.0,0.0,0.0,1633723200
profile,1633959000,20211011,0,1760.985,1750.166,1755.153,1757.266,1753.209,0.0,0.0,0.0,0.0,0.0,1633982400
entry,1633959600,20211011,1,1760.985,1750.166,1755.153,1757.266,1753.209,1758.032,1753.208,1760.985,0.21,101.30399999999999,1633982400
timed_exit,1633982400,20211011,0,1760.985,1750.166,1755.153,1757.266,1753.209,0.0,0.0,0.0,0.0,0.0,1633982400
profile,1634045400,20211012,0,1764.971,1750.67,1761.507,1762.96,1756.927,0.0,0.0,0.0,0.0,0.0,1634068800
invalid_geometry,1634046600,20211012,1,1764.971,1750.67,1761.507,1762.96,1756.927,1766.488,1756.926,1764.971,0.0,0.0,1634068800
profile,1634131800,20211013,0,1777.549,1757.863,1760.478,1767.706,1759.093,0.0,0.0,0.0,0.0,0.0,1634155200
entry,1634132100,20211013,1,1777.549,1757.863,1760.478,1767.706,1759.093,1772.073,1759.092,1777.549,0.08,103.848,1634155200
profile,1634218200,20211014,0,1800.463,1786.684,1798.848,1799.171,1791.205,0.0,0.0,0.0,0.0,0.0,1634241600
entry,1634221500,20211014,1,1800.463,1786.684,1798.848,1799.171,1791.205,1799.51,1791.204,1800.463,0.12,99.672,1634241600
timed_exit,1634241600,20211014,0,1800.463,1786.684,1798.848,1799.171,1791.205,0.0,0.0,0.0,0.0,0.0,1634241600
profile,1634304600,20211015,0,1796.425,1764.756,1795.188,1796.425,1777.622,0.0,0.0,0.0,0.0,0.0,1634328000
entry,1634304900,20211015,-1,1796.425,1764.756,1795.188,1796.425,1777.622,1767.4,1796.426,1764.756,0.04,116.104,1634328000
timed_exit,1634328000,20211015,0,1796.425,1764.756,1795.188,1796.425,1777.622,0.0,0.0,0.0,0.0,0.0,1634328000
profile,1634563800,20211018,0,1772.051,1760.314,1764.624,1768.016,1761.048,0.0,0.0,0.0,0.0,0.0,1634587200
entry,1634565600,20211018,1,1772.051,1760.314,1764.624,1768.016,1761.048,1769.059,1761.047,1772.051,0.13,104.156,1634587200
timed_exit,1634587200,20211018,0,1772.051,1760.314,1764.624,1768.016,1761.048,0.0,0.0,0.0,0.0,0.0,1634587200
profile,1634650200,20211019,0,1785.1,1762.923,1780.076,1783.021,1774.705,0.0,0.0,0.0,0.0,0.0,1634673600
entry,1634653200,20211019,-1,1785.1,1762.923,1780.076,1783.021,1774.705,1772.983,1783.022,1762.923,0.1,100.39,1634673600
timed_exit,1634673600,20211019,0,1785.1,1762.923,1780.076,1783.021,1774.705,0.0,0.0,0.0,0.0,0.0,1634673600
profile,1634736600,20211020,0,1788.405,1766.876,1778.818,1782.686,1770.576,0.0,0.0,0.0,0.0,0.0,1634760000
entry,1634741400,20211020,1,1788.405,1766.876,1778.818,1782.686,1770.576,1784.667,1770.575,1788.405,0.07,98.64400000000002,1634760000
timed_exit,1634760000,20211020,0,1788.405,1766.876,1778.818,1782.686,1770.576,0.0,0.0,0.0,0.0,0.0,1634760000
profile,1634823000,20211021,0,1789.41,1776.342,1782.366,1786.143,1781.243,0.0,0.0,0.0,0.0,0.0,1634846400
entry,1634824800,20211021,-1,1789.41,1776.342,1782.366,1786.143,1781.243,1779.692,1786.144,1776.342,0.16,103.23200000000001,1634846400
timed_exit,1634846400,20211021,0,1789.41,1776.342,1782.366,1786.143,1781.243,0.0,0.0,0.0,0.0,0.0,1634846400
profile,1634909400,20211022,0,1807.726,1782.943,1792.43,1807.726,1786.428,0.0,0.0,0.0,0.0,0.0,1634932800
invalid_geometry,1634911200,20211022,1,1807.726,1782.943,1792.43,1807.726,1786.428,1808.22,1786.427,1807.726,0.0,0.0,1634932800
profile,1635168600,20211025,0,1804.643,1792.238,1794.273,1800.379,1792.432,0.0,0.0,0.0,0.0,0.0,1635192000
entry,1635168900,20211025,1,1804.643,1792.238,1794.273,1800.379,1792.432,1803.812,1792.431,1804.643,0.09,102.42899999999999,1635192000
profile,1635255000,20211026,0,1808.273,1794.008,1803.035,1806.044,1800.918,0.0,0.0,0.0,0.0,0.0,1635278400
